时间,目标距离,EBI速度,EBI速度(km/h),目标速度,目标速度（km/h）,车速数据(cm/s),车速(km/h),计算距离(m),公里标（m）,实际长度(m),列车重量,网压,车辆速度,ATO输出的电流值,当前坡度,PID控制器期望输出的加速度
8:43:23,164626,1567,56.412,1429,51.444,0,0.0,0.0,34244.334,,276,776,0,5904,0,100
8:43:24,164625,1567,56.412,1429,51.444,5,0.18,0.01,34244.344,,276,771,0,6276,0,100
8:43:24,164624,1567,56.412,1429,51.444,7,0.252,0.024,34244.358,,276,771,0,7188,0,100
8:43:24,164623,1567,56.412,1429,51.444,7,0.252,0.038,34244.372,,276,781,0,7560,0,100
8:43:24,164620,1567,56.412,1429,51.444,11,0.396,0.06,34244.394,,276,781,0,7872,0,100
8:43:24,164617,1567,56.412,1429,51.444,16,0.576,0.092,34244.426,,276,791,0,8352,0,100
8:43:25,164613,1567,56.412,1429,51.444,21,0.756,0.134,34244.468,,276,795,0,8724,0,100
8:43:25,164608,1567,56.412,1429,51.444,26,0.936,0.186,34244.52,,276,795,0,9648,0,100
8:43:25,164601,1567,56.412,1429,51.444,33,1.188,0.252,34244.586,,276,786,0,10032,0,100
8:43:25,164593,1567,56.412,1429,51.444,41,1.476,0.334,34244.668,,276,786,0,10332,0,100
8:43:25,164583,1567,56.412,1429,51.444,47,1.692,0.428,34244.762,,276,800,0,10824,0,100
8:43:26,164572,1567,56.412,1429,51.444,57,2.052,0.542,34244.876,,276,800,0,11184,0,100
8:43:26,164558,1567,56.412,1429,51.444,67,2.412,0.676,34245.01,,276,786,13,11988,0,100
8:43:26,164543,1567,56.412,1429,51.444,76,2.736,0.828,34245.162,,276,791,27,12480,0,100
8:43:26,164526,1567,56.412,1429,51.444,87,3.132,1.002,34245.336,,276,791,27,12780,0,100
8:43:26,164506,1567,56.412,1429,51.444,100,3.6,1.202,34245.536,,276,786,41,13284,0,100
8:43:27,164484,1567,56.412,1429,51.444,112,4.032,1.426,34245.76,,276,791,55,13656,0,100
8:43:27,164459,1567,56.412,1429,51.444,126,4.536,1.678,34246.012,,276,791,55,14448,0,100
8:43:27,164431,1567,56.412,1429,51.444,141,5.076,1.96,34246.294,,276,795,69,14952,0,100
8:43:27,164399,1567,56.412,1429,51.444,155,5.58,2.27,34246.604,,276,786,83,15240,0,100
8:43:27,164365,1567,56.412,1429,51.444,170,6.12,2.61,34246.944,,276,781,111,15744,0,100
8:43:28,164327,1567,56.412,1429,51.444,188,6.768,2.986,34247.32,,276,781,111,16104,0,100
8:43:28,164286,1567,56.412,1429,51.444,205,7.38,3.396,34247.73,,276,771,138,16896,0,100
8:43:28,164242,1567,56.412,1429,51.444,222,7.992,3.84,34248.174,,276,771,138,17208,0,100
8:43:28,164194,1567,56.412,1429,51.444,242,8.712,4.324,34248.658,,276,771,152,17616,0,100
8:43:28,164142,1567,56.412,1429,51.444,262,9.432,4.848,34249.182,,276,776,152,17664,0,100
8:43:29,164086,1567,56.412,1429,51.444,279,10.044,5.406,34249.74,,276,766,208,17676,0,100
8:43:29,164026,1567,56.412,1429,51.444,298,10.728,6.002,34250.336,,276,766,208,17676,0,100
8:43:29,163963,1567,56.412,1429,51.444,317,11.412,6.636,34250.97,,276,761,236,17664,0,100
8:43:29,163894,1567,56.412,1429,51.444,336,12.096,7.308,34251.642,,276,761,236,17676,0,100
8:43:29,163827,1567,56.412,1429,51.444,355,12.78,8.018,34252.352,,276,766,250,17676,0,100
8:43:30,163752,1567,56.412,1429,51.444,373,13.428,8.764,34253.098,,276,766,277,17676,0,100
8:43:30,163674,1567,56.412,1429,51.444,392,14.112,9.548,34253.882,,276,766,305,17664,0,100
8:43:30,163592,1567,56.412,1429,51.444,410,14.76,10.368,34254.702,,276,756,305,17664,0,100
8:43:30,163507,1567,56.412,1429,51.444,428,15.408,11.224,34255.558,,276,756,361,17664,0,100
8:43:30,163418,1567,56.412,1429,51.444,446,16.056,12.116,34256.45,,276,761,361,17676,0,100
8:43:31,163325,1567,56.412,1429,51.444,467,16.812,13.05,34257.384,,276,761,388,17676,0,100
8:43:31,163228,1567,56.412,1429,51.444,483,17.388,14.016,34258.35,,276,766,388,17676,0,100
8:43:31,163128,1567,56.412,1429,51.444,503,18.108,15.022,34259.356,,276,766,402,17676,0,100
8:43:31,163022,1567,56.412,1429,51.444,521,18.756,16.064,34260.398,,276,756,444,17676,0,100
8:43:31,162914,1567,56.412,1429,51.444,539,19.404,17.142,34261.476,,276,766,444,17676,0,100
8:43:32,162803,1567,56.412,1429,51.444,559,20.124,18.26,34262.594,,276,766,472,17676,0,100
8:43:32,162688,1567,56.412,1429,51.444,575,20.7,19.41,34263.744,,276,756,472,17676,0,100
8:43:32,162569,1567,56.412,1429,51.444,596,21.456,20.602,34264.936,,276,751,513,17664,0,100
8:43:32,162447,1567,56.412,1429,51.444,612,22.032,21.826,34266.16,,276,751,513,17676,0,100
8:43:32,162321,1567,56.412,1429,51.444,632,22.752,23.09,34267.424,,276,771,541,17676,0,100
8:43:33,162191,1567,56.412,1429,51.444,649,23.364,24.388,34268.722,,276,761,569,17676,0,100
8:43:33,162058,1567,56.412,1429,51.444,670,24.12,25.728,34270.062,,276,761,597,17664,0,100
8:43:33,161921,1567,56.412,1429,51.444,685,24.66,27.098,34271.432,,276,747,597,17664,0,100
8:43:33,161776,1567,56.412,1429,51.444,708,25.488,28.514,34272.848,,276,747,611,17676,0,100
8:43:33,161632,1567,56.412,1429,51.444,722,25.992,29.958,34274.292,,276,747,652,17676,0,100
8:43:34,161484,1567,56.412,1429,51.444,743,26.748,31.444,34275.778,,276,742,652,17664,0,100
8:43:34,161332,1567,56.412,1429,51.444,761,27.396,32.966,34277.3,,276,761,680,17676,0,100
8:43:34,161177,1567,56.412,1429,51.444,781,28.116,34.528,34278.862,,276,761,680,17664,0,100
8:43:34,161017,1567,56.412,1429,51.444,798,28.728,36.124,34280.458,,276,761,694,17676,0,100
8:43:34,160854,1567,56.412,1429,51.444,817,29.412,37.758,34282.092,,276,742,736,17676,0,100
8:43:35,160688,1567,56.412,1429,51.444,836,30.096,39.43,34283.764,,276,756,736,17664,0,100
8:43:35,160517,1567,56.412,1429,51.444,855,30.78,41.14,34285.474,,276,756,763,17664,0,100
8:43:35,160343,1567,56.412,1429,51.444,872,31.392,42.884,34287.218,,276,747,763,17664,0,100
8:43:35,160161,1567,56.412,1429,51.444,892,32.112,44.668,34289.002,,276,751,819,17676,0,100
8:43:35,159979,1567,56.412,1429,51.444,912,32.832,46.492,34290.826,,276,751,819,17676,0,100
8:43:36,159794,1567,56.412,1429,51.444,928,33.408,48.348,34292.682,,276,742,847,17676,0,100
8:43:36,159605,1567,56.412,1429,51.444,948,34.128,50.244,34294.578,,276,742,847,17664,0,100
8:43:36,159412,1567,56.412,1429,51.444,967,34.812,52.178,34296.512,,276,747,875,17676,0,100
8:43:36,159215,1567,56.412,1429,51.444,984,35.424,54.146,34298.48,,276,747,888,17676,0,100
8:43:36,159015,1567,56.412,1429,51.444,1003,36.108,56.152,34300.486,,276,751,916,17664,0,100
8:43:37,158811,1567,56.412,1429,51.444,1021,36.756,58.194,34302.528,,276,751,916,17664,0,100
8:43:37,158604,1567,56.412,1429,51.444,1040,37.44,60.274,34304.608,,276,737,958,17664,0,100
8:43:37,158393,1567,56.412,1429,51.444,1059,38.124,62.392,34306.726,,276,737,958,17664,0,100
8:43:37,158173,1567,56.412,1429,51.444,1076,38.736,64.544,34308.878,,276,732,1000,17664,0,100
8:43:37,157954,1567,56.412,1429,51.444,1094,39.384,66.732,34311.066,,276,737,1000,17664,0,100
8:43:38,157732,1577,56.772,1439,51.804,1113,40.068,68.958,34313.292,,276,742,1041,17664,0,100
8:43:38,157507,1577,56.772,1439,51.804,1131,40.716,71.22,34315.554,,276,742,1041,17676,0,100
8:43:38,157278,1577,56.772,1439,51.804,1148,41.328,73.516,34317.85,,276,742,1055,17664,0,100
8:43:38,157045,1577,56.772,1439,51.804,1165,41.94,75.846,34320.18,,276,747,1097,17676,0,100
8:43:38,156809,1577,56.772,1439,51.804,1184,42.624,78.214,34322.548,,276,737,1111,17676,0,100
8:43:39,156570,1577,56.772,1439,51.804,1198,43.128,80.61,34324.944,,276,737,1111,17676,0,100
8:43:39,156328,1577,56.772,1439,51.804,1214,43.704,83.038,34327.372,,276,737,1125,17676,0,100
8:43:39,156083,1577,56.772,1439,51.804,1230,44.28,85.498,34329.832,,276,742,1125,17676,0,100
