时间,目标距离,EBI速度,EBI速度(km/h),目标速度,目标速度（km/h）,车速数据(cm/s),车速(km/h),计算距离(m),公里标（m）,实际长度(m),列车重量,网压,车辆速度,ATO输出的电流值,当前坡度,PID控制器期望输出的加速度
7:35:53,217019,1561,56.196,1423,51.228,0,0.0,0.0,17270.34,,322,893,0,5760,-2,100
7:35:53,217019,1561,56.196,1423,51.228,2,0.072,0.004,17270.344,,322,883,0,6168,-2,100
7:35:53,217019,1561,56.196,1423,51.228,3,0.108,0.01,17270.35,,322,883,0,6516,-2,100
7:35:53,217017,1561,56.196,1423,51.228,6,0.216,0.022,17270.362,,322,883,0,7008,-2,100
7:35:54,217016,1561,56.196,1423,51.228,8,0.288,0.038,17270.378,,322,883,0,7728,-2,100
7:35:54,217013,1561,56.196,1423,51.228,13,0.468,0.064,17270.404,,322,878,0,8220,-2,100
7:35:54,217010,1561,56.196,1423,51.228,17,0.612,0.098,17270.438,,322,878,0,8712,-2,100
7:35:54,217005,1561,56.196,1423,51.228,23,0.828,0.144,17270.484,,322,883,0,8988,-2,100
7:35:54,216999,1561,56.196,1423,51.228,29,1.044,0.202,17270.542,,322,878,0,9252,-2,100
7:35:55,216992,1561,56.196,1423,51.228,35,1.26,0.272,17270.612,,322,878,0,10188,-2,100
7:35:55,216984,1561,56.196,1423,51.228,43,1.548,0.358,17270.698,,322,878,0,10596,-2,100
7:35:55,216973,1561,56.196,1423,51.228,52,1.872,0.462,17270.802,,322,878,13,10932,-2,100
7:35:55,216961,1561,56.196,1423,51.228,61,2.196,0.584,17270.924,,322,878,13,11436,-2,100
7:35:55,216947,1561,56.196,1423,51.228,70,2.52,0.724,17271.064,,322,874,13,11700,-2,100
7:35:56,216931,1561,56.196,1423,51.228,82,2.952,0.888,17271.228,,322,874,27,12636,-2,100
7:35:56,216912,1561,56.196,1423,51.228,92,3.312,1.072,17271.412,,322,878,55,13044,-2,100
7:35:56,216891,1561,56.196,1423,51.228,105,3.78,1.282,17271.622,,322,878,55,13392,-2,100
7:35:56,216868,1561,56.196,1423,51.228,118,4.248,1.518,17271.858,,322,883,55,13896,-2,100
7:35:56,216842,1561,56.196,1423,51.228,131,4.716,1.78,17272.12,,322,874,83,14172,-2,100
7:35:57,216813,1561,56.196,1423,51.228,145,5.22,2.07,17272.41,,322,874,83,15096,-2,100
7:35:57,216781,1561,56.196,1423,51.228,161,5.796,2.392,17272.732,,322,874,83,15504,-2,100
7:35:57,216745,1561,56.196,1423,51.228,176,6.336,2.744,17273.084,,322,874,83,15852,-2,100
7:35:57,216706,1561,56.196,1423,51.228,194,6.984,3.132,17273.472,,322,864,111,16128,-2,100
7:35:57,216663,1561,56.196,1423,51.228,212,7.632,3.556,17273.896,,322,859,125,17052,-2,100
7:35:58,216617,1561,56.196,1423,51.228,230,8.28,4.016,17274.356,,322,859,125,17472,-2,100
7:35:58,216568,1561,56.196,1423,51.228,248,8.928,4.512,17274.852,,322,839,166,17628,-2,100
7:35:58,216515,1561,56.196,1423,51.228,267,9.612,5.046,17275.386,,322,825,180,17676,-2,100
7:35:58,216457,1561,56.196,1423,51.228,287,10.332,5.62,17275.96,,322,815,208,17676,-2,100
7:35:58,216397,1561,56.196,1423,51.228,305,10.98,6.23,17276.57,,322,815,208,17676,-2,100
7:35:59,216332,1561,56.196,1423,51.228,324,11.664,6.878,17277.218,,322,810,236,17676,-2,100
7:35:59,216264,1561,56.196,1423,51.228,341,12.276,7.56,17277.9,,322,815,236,17676,-2,100
7:35:59,216192,1561,56.196,1423,51.228,359,12.924,8.278,17278.618,,322,815,250,17676,-2,100
7:35:59,216114,1561,56.196,1423,51.228,380,13.68,9.038,17279.378,,322,805,291,17676,-2,100
7:35:59,216035,1561,56.196,1423,51.228,397,14.292,9.832,17280.172,,322,795,319,17676,-2,100
7:36:00,215952,1561,56.196,1423,51.228,416,14.976,10.664,17281.004,,322,795,319,17676,-2,100
7:36:00,215865,1561,56.196,1423,51.228,435,15.66,11.534,17281.874,,322,795,347,17676,-2,100
7:36:00,215775,1561,56.196,1423,51.228,452,16.272,12.438,17282.778,,322,786,361,17676,-2,100
7:36:00,215681,1561,56.196,1423,51.228,471,16.956,13.38,17283.72,,322,786,361,17676,-2,100
7:36:00,215584,1561,56.196,1423,51.228,490,17.64,14.36,17284.7,,322,786,402,17676,-2,100
7:36:01,215483,1561,56.196,1423,51.228,506,18.216,15.372,17285.712,,322,786,444,17676,-2,100
7:36:01,215377,1561,56.196,1423,51.228,527,18.972,16.426,17286.766,,322,786,444,17676,-2,100
7:36:01,215269,1561,56.196,1423,51.228,544,19.584,17.514,17287.854,,322,786,458,17676,-2,100
7:36:01,215150,1561,56.196,1423,51.228,562,20.232,18.638,17288.978,,322,771,458,17688,-2,100
7:36:01,215034,1561,56.196,1423,51.228,583,20.988,19.804,17290.144,,322,771,486,17676,-2,100
7:36:02,214914,1561,56.196,1423,51.228,599,21.564,21.002,17291.342,,322,776,513,17676,-2,100
7:36:02,214791,1561,56.196,1423,51.228,618,22.248,22.238,17292.578,,322,781,527,17676,-2,100
7:36:02,214664,1561,56.196,1423,51.228,636,22.896,23.51,17293.85,,322,771,569,17676,-2,100
7:36:02,214533,1561,56.196,1423,51.228,655,23.58,24.82,17295.16,,322,771,569,17676,-2,100
