时间,目标距离,EBI速度,EBI速度(km/h),目标速度,目标速度（km/h）,车速数据(cm/s),车速(km/h),计算距离(m),公里标（m）,实际长度(m),列车重量,网压,车辆速度,ATO输出的电流值,当前坡度,PID控制器期望输出的加速度
11:16:23,99233,1567,56.412,1429,51.444,0,0.0,0.0,79389.288,,251,810,0,5808,0,100
11:16:23,99232,1567,56.412,1429,51.444,2,0.072,0.004,79389.292,,251,815,0,6240,0,100
11:16:23,99231,1567,56.412,1429,51.444,7,0.252,0.018,79389.306,,251,815,0,6636,0,100
11:16:23,99229,1567,56.412,1429,51.444,8,0.288,0.034,79389.322,,251,805,0,7128,0,100
11:16:24,99227,1567,56.412,1429,51.444,10,0.36,0.054,79389.342,,251,810,0,7464,0,100
11:16:24,99224,1567,56.412,1429,51.444,16,0.576,0.086,79389.374,,251,810,0,8196,0,100
11:16:24,99220,1567,56.412,1429,51.444,20,0.72,0.126,79389.414,,251,800,0,8592,0,100
11:16:24,99216,1567,56.412,1429,51.444,24,0.864,0.174,79389.462,,251,805,0,9096,0,100
11:16:24,99209,1567,56.412,1429,51.444,31,1.116,0.236,79389.524,,251,805,0,9432,0,100
11:16:25,99202,1567,56.412,1429,51.444,38,1.368,0.312,79389.6,,251,795,0,10224,0,100
11:16:25,99193,1567,56.412,1429,51.444,46,1.656,0.404,79389.692,,251,795,0,10656,0,100
11:16:25,99182,1567,56.412,1429,51.444,54,1.944,0.512,79389.8,,251,800,13,11052,0,100
11:16:25,99169,1567,56.412,1429,51.444,63,2.268,0.638,79389.926,,251,795,27,11556,0,100
11:16:25,99155,1567,56.412,1429,51.444,73,2.628,0.784,79390.072,,251,795,27,11880,0,100
11:16:26,99138,1567,56.412,1429,51.444,84,3.024,0.952,79390.24,,251,800,27,12624,0,100
11:16:26,99119,1567,56.412,1429,51.444,96,3.456,1.144,79390.432,,251,795,41,13104,0,100
11:16:26,99097,1567,56.412,1429,51.444,108,3.888,1.36,79390.648,,251,795,41,13512,0,100
11:16:26,99073,1567,56.412,1429,51.444,121,4.356,1.602,79390.89,,251,795,55,13860,0,100
11:16:26,99046,1567,56.412,1429,51.444,135,4.86,1.872,79391.16,,251,791,69,14640,0,100
11:16:27,99016,1567,56.412,1429,51.444,149,5.364,2.17,79391.458,,251,791,83,15084,0,100
11:16:27,98983,1567,56.412,1429,51.444,166,5.976,2.502,79391.79,,251,791,83,15480,0,100
11:16:27,98947,1567,56.412,1429,51.444,181,6.516,2.864,79392.152,,251,795,111,15972,0,100
11:16:27,98907,1567,56.412,1429,51.444,199,7.164,3.262,79392.55,,251,791,138,16308,0,100
11:16:27,98864,1567,56.412,1429,51.444,216,7.776,3.694,79392.982,,251,791,138,17088,0,100
11:16:28,98817,1567,56.412,1429,51.444,236,8.496,4.166,79393.454,,251,786,152,17532,0,100
11:16:28,98766,1567,56.412,1429,51.444,253,9.108,4.672,79393.96,,251,786,152,17640,0,100
11:16:28,98712,1567,56.412,1429,51.444,273,9.828,5.218,79394.506,,251,786,208,17664,0,100
11:16:28,98654,1567,56.412,1429,51.444,292,10.512,5.802,79395.09,,251,786,208,17664,0,100
11:16:28,98590,1567,56.412,1429,51.444,309,11.124,6.42,79395.708,,251,786,236,17664,0,100
11:16:29,98524,1567,56.412,1429,51.444,331,11.916,7.082,79396.37,,251,791,236,17676,0,100
11:16:29,98455,1567,56.412,1429,51.444,349,12.564,7.78,79397.068,,251,786,250,17664,0,100
11:16:29,98382,1567,56.412,1429,51.444,367,13.212,8.514,79397.802,,251,786,291,17664,0,100
11:16:29,98305,1567,56.412,1429,51.444,386,13.896,9.286,79398.574,,251,786,291,17664,0,100
11:16:29,98224,1567,56.412,1429,51.444,404,14.544,10.094,79399.382,,251,771,305,17676,0,100
11:16:30,98140,1567,56.412,1429,51.444,422,15.192,10.938,79400.226,,251,771,333,17676,0,100
11:16:30,98052,1567,56.412,1429,51.444,441,15.876,11.82,79401.108,,251,781,361,17664,0,100
11:16:30,97960,1567,56.412,1429,51.444,460,16.56,12.74,79402.028,,251,776,361,17676,0,100
11:16:30,97860,1567,56.412,1429,51.444,478,17.208,13.696,79402.984,,251,776,402,17664,0,100
11:16:30,97758,1567,56.412,1429,51.444,498,17.928,14.692,79403.98,,251,776,402,17664,0,100
11:16:31,97655,1567,56.412,1429,51.444,515,18.54,15.722,79405.01,,251,781,430,17676,0,100
11:16:31,97549,1567,56.412,1429,51.444,534,19.224,16.79,79406.078,,251,781,458,17676,0,100
11:16:31,97438,1567,56.412,1429,51.444,553,19.908,17.896,79407.184,,251,771,458,17664,0,100
11:16:31,97324,1567,56.412,1429,51.444,572,20.592,19.04,79408.328,,251,781,472,17664,0,100
11:16:31,97206,1567,56.412,1429,51.444,590,21.24,20.22,79409.508,,251,781,513,17664,0,100
11:16:32,97085,1567,56.412,1429,51.444,608,21.888,21.436,79410.724,,251,776,513,17664,0,100
11:16:32,96960,1567,56.412,1429,51.444,628,22.608,22.692,79411.98,,251,761,527,17664,0,100
11:16:32,96831,1567,56.412,1429,51.444,644,23.184,23.98,79413.268,,251,791,569,17664,0,100
11:16:32,96699,1567,56.412,1429,51.444,664,23.904,25.308,79414.596,,251,791,569,17664,0,100
11:16:32,96559,1567,56.412,1429,51.444,683,24.588,26.674,79415.962,,251,776,597,17676,0,100
11:16:33,96419,1567,56.412,1429,51.444,702,25.272,28.078,79417.366,,251,776,597,17664,0,100
11:16:33,96276,1567,56.412,1429,51.444,720,25.92,29.518,79418.806,,251,786,625,17664,0,100
11:16:33,96128,1567,56.412,1429,51.444,739,26.604,30.996,79420.284,,251,776,666,17676,0,100
11:16:33,95977,1567,56.412,1429,51.444,758,27.288,32.512,79421.8,,251,781,666,17664,0,100
11:16:33,95822,1567,56.412,1429,51.444,776,27.936,34.064,79423.352,,251,781,680,17664,0,100
11:16:34,95663,1567,56.412,1423,51.228,796,28.656,35.656,79424.944,,251,776,680,17664,0,100
11:16:34,95501,1567,56.412,1423,51.228,813,29.268,37.282,79426.57,,251,771,736,17664,0,100
11:16:34,95335,1561,56.196,1423,51.228,833,29.988,38.948,79428.236,,251,771,736,17676,0,100
11:16:34,95165,1561,56.196,1423,51.228,852,30.672,40.652,79429.94,,251,781,750,17664,0,100
11:16:34,94987,1561,56.196,1423,51.228,870,31.32,42.392,79431.68,,251,781,750,17664,0,100
11:16:35,94809,1561,56.196,1423,51.228,890,32.04,44.172,79433.46,,251,781,791,17664,0,100
11:16:35,94628,1561,56.196,1423,51.228,908,32.688,45.988,79435.276,,251,766,833,17676,0,100
11:16:35,94443,1561,56.196,1423,51.228,926,33.336,47.84,79437.128,,251,761,847,17664,0,100
11:16:35,94255,1561,56.196,1423,51.228,946,34.056,49.732,79439.02,,251,761,847,17664,0,100
11:16:35,94062,1561,56.196,1423,51.228,965,34.74,51.662,79440.95,,251,761,875,17664,0,100
11:16:36,93866,1561,56.196,1423,51.228,983,35.388,53.628,79442.916,,251,761,875,17664,0,100
11:16:36,93667,1561,56.196,1423,51.228,1001,36.036,55.63,79444.918,,251,771,902,17664,0,100
11:16:36,93463,1561,56.196,1423,51.228,1020,36.72,57.67,79446.958,,251,771,930,17664,0,100
11:16:36,93256,1561,56.196,1423,51.228,1038,37.368,59.746,79449.034,,251,751,930,17676,0,100
11:16:36,93040,1561,56.196,1423,51.228,1058,38.088,61.862,79451.15,,251,751,972,17664,0,100
11:16:37,92825,1561,56.196,1423,51.228,1076,38.736,64.014,79453.302,,251,751,1000,17664,0,100
11:16:37,92607,1561,56.196,1423,51.228,1095,39.42,66.204,79455.492,,251,751,1027,17676,0,100
11:16:37,92385,1571,56.556,1433,51.588,1113,40.068,68.43,79457.718,,251,751,1027,17676,0,100
11:16:37,92159,1571,56.556,1433,51.588,1132,40.752,70.694,79459.982,,251,751,1041,17664,0,100
11:16:37,91929,1571,56.556,1433,51.588,1149,41.364,72.992,79462.28,,251,751,1041,17664,0,100
11:16:38,91696,1571,56.556,1433,51.588,1167,42.012,75.326,79464.614,,251,751,1083,17664,0,100
11:16:38,91460,1571,56.556,1433,51.588,1185,42.66,77.696,79466.984,,251,751,1111,17664,0,100
11:16:38,91220,1571,56.556,1433,51.588,1202,43.272,80.1,79469.388,,251,751,1152,17664,0,100
11:16:38,90977,1571,56.556,1433,51.588,1220,43.92,82.54,79471.828,,251,751,1152,17664,0,100
11:16:38,90724,1571,56.556,1433,51.588,1235,44.46,85.01,79474.298,,251,756,1152,17664,0,100
11:16:39,90474,1571,56.556,1433,51.588,1252,45.072,87.514,79476.802,,251,756,1194,17652,0,100
11:16:39,90221,1571,56.556,1433,51.588,1268,45.648,90.05,79479.338,,251,751,1194,17664,0,95
11:16:39,89965,1571,56.556,1433,51.588,1285,46.26,92.62,79481.908,,251,751,1208,17664,0,81
11:16:39,89706,1571,56.556,1433,51.588,1300,46.8,95.22,79484.508,,251,747,1208,17664,0,69
11:16:39,89443,1571,56.556,1433,51.588,1316,47.376,97.852,79487.14,,251,756,1236,17664,0,58
