时间,目标距离,EBI速度,EBI速度(km/h),目标速度,目标速度（km/h）,车速数据(cm/s),车速(km/h),计算距离(m),公里标（m）,实际长度(m),列车重量,网压,车辆速度,ATO输出的电流值,当前坡度,PID控制器期望输出的加速度
7:22:55,154418,1567,56.412,1429,51.444,0,0.0,0.0,9337.74,,275,825,0,5688,0,100
7:22:55,154418,1567,56.412,1429,51.444,2,0.072,0.004,9337.744,,275,825,0,6048,0,100
7:22:55,154417,1567,56.412,1429,51.444,4,0.144,0.012,9337.752,,275,815,0,6756,0,100
7:22:55,154416,1567,56.412,1429,51.444,7,0.252,0.026,9337.766,,275,825,0,7236,0,100
7:22:55,154414,1567,56.412,1429,51.444,10,0.36,0.046,9337.786,,275,825,0,7656,0,100
7:22:56,154411,1567,56.412,1429,51.444,13,0.468,0.072,9337.812,,275,825,0,8136,0,100
7:22:56,154407,1567,56.412,1429,51.444,18,0.648,0.108,9337.848,,275,820,0,8280,0,100
7:22:56,154403,1567,56.412,1429,51.444,23,0.828,0.154,9337.894,,275,810,0,9216,0,100
7:22:56,154397,1567,56.412,1429,51.444,28,1.008,0.21,9337.95,,275,810,0,9708,0,100
7:22:56,154390,1567,56.412,1429,51.444,37,1.332,0.284,9338.024,,275,820,0,10116,0,100
7:22:57,154381,1567,56.412,1429,51.444,43,1.548,0.37,9338.11,,275,810,0,10464,0,100
7:22:57,154371,1567,56.412,1429,51.444,51,1.836,0.472,9338.212,,275,815,13,11172,0,100
7:22:57,154359,1567,56.412,1429,51.444,60,2.16,0.592,9338.332,,275,815,13,11664,0,100
7:22:57,154345,1567,56.412,1429,51.444,70,2.52,0.732,9338.472,,275,805,13,12072,0,100
7:22:57,154328,1567,56.412,1429,51.444,82,2.952,0.896,9338.636,,275,805,13,12564,0,100
7:22:58,154310,1567,56.412,1429,51.444,93,3.348,1.082,9338.822,,275,805,41,12924,0,100
7:22:58,154289,1567,56.412,1429,51.444,105,3.78,1.292,9339.032,,275,800,41,13188,0,100
7:22:58,154265,1567,56.412,1429,51.444,118,4.248,1.528,9339.268,,275,810,69,14124,0,100
7:22:58,154239,1567,56.412,1429,51.444,132,4.752,1.792,9339.532,,275,810,69,14544,0,100
7:22:58,154209,1567,56.412,1429,51.444,147,5.292,2.086,9339.826,,275,810,69,15024,0,100
7:22:59,154177,1567,56.412,1429,51.444,163,5.868,2.412,9340.152,,275,810,97,15168,0,100
7:22:59,154141,1567,56.412,1429,51.444,177,6.372,2.766,9340.506,,275,810,111,16092,0,100
7:22:59,154102,1567,56.412,1429,51.444,196,7.056,3.158,9340.898,,275,810,111,16500,0,100
7:22:59,154060,1567,56.412,1429,51.444,212,7.632,3.582,9341.322,,275,805,125,16992,0,100
7:22:59,154013,1567,56.412,1429,51.444,232,8.352,4.046,9341.786,,275,805,125,17472,0,100
7:23:00,153963,1567,56.412,1429,51.444,252,9.072,4.55,9342.29,,275,800,152,17604,0,100
7:23:00,153909,1567,56.412,1429,51.444,270,9.72,5.09,9342.83,,275,786,194,17664,0,100
7:23:00,153852,1567,56.412,1429,51.444,288,10.368,5.666,9343.406,,275,786,194,17676,0,100
7:23:00,153791,1567,56.412,1429,51.444,307,11.052,6.28,9344.02,,275,800,208,17676,0,100
7:23:00,153724,1567,56.412,1429,51.444,328,11.808,6.936,9344.676,,275,800,208,17676,0,100
7:23:01,153654,1567,56.412,1429,51.444,347,12.492,7.63,9345.37,,275,815,277,17676,0,100
7:23:01,153582,1567,56.412,1429,51.444,362,13.032,8.354,9346.094,,275,839,277,17676,0,100
7:23:01,153505,1567,56.412,1429,51.444,384,13.824,9.122,9346.862,,275,849,305,17676,0,100
7:23:01,153425,1567,56.412,1429,51.444,403,14.508,9.928,9347.668,,275,849,305,17676,0,100
7:23:01,153342,1567,56.412,1429,51.444,419,15.084,10.766,9348.506,,275,839,319,17676,0,100
7:23:02,153254,1567,56.412,1429,51.444,438,15.768,11.642,9349.382,,275,834,361,17676,0,100
7:23:02,153163,1567,56.412,1429,51.444,459,16.524,12.56,9350.3,,275,820,361,17676,0,100
7:23:02,153064,1567,56.412,1429,51.444,475,17.1,13.51,9351.25,,275,820,375,17676,0,100
7:23:02,152965,1567,56.412,1429,51.444,495,17.82,14.5,9352.24,,275,820,388,17676,0,100
7:23:02,152860,1567,56.412,1429,51.444,514,18.504,15.528,9353.268,,275,815,388,17676,0,100
7:23:03,152754,1567,56.412,1429,51.444,530,19.08,16.588,9354.328,,275,815,430,17676,0,100
7:23:03,152644,1567,56.412,1429,51.444,551,19.836,17.69,9355.43,,275,815,472,17676,0,100
7:23:03,152531,1567,56.412,1429,51.444,569,20.484,18.828,9356.568,,275,820,472,17676,0,100
7:23:03,152414,1567,56.412,1429,51.444,588,21.168,20.004,9357.744,,275,820,486,17676,0,100
7:23:03,152293,1567,56.412,1429,51.444,606,21.816,21.216,9358.956,,275,834,527,17676,0,100
7:23:04,152168,1567,56.412,1429,51.444,623,22.428,22.462,9360.202,,275,849,527,17676,0,100
7:23:04,152040,1567,56.412,1429,51.444,644,23.184,23.75,9361.49,,275,849,569,17676,0,100
7:23:04,151908,1567,56.412,1429,51.444,661,23.796,25.072,9362.812,,275,830,597,17676,0,100
7:23:04,151772,1567,56.412,1429,51.444,681,24.516,26.434,9364.174,,275,830,597,17676,0,100
7:23:04,151629,1567,56.412,1429,51.444,699,25.164,27.832,9365.572,,275,810,597,17676,0,100
7:23:05,151486,1567,56.412,1429,51.444,717,25.812,29.266,9367.006,,275,810,638,17676,0,100
7:23:05,151339,1567,56.412,1429,51.444,738,26.568,30.742,9368.482,,275,810,638,17676,0,100
7:23:05,151188,1567,56.412,1429,51.444,756,27.216,32.254,9369.994,,275,844,652,17676,0,100
7:23:05,151034,1567,56.412,1429,51.444,774,27.864,33.802,9371.542,,275,844,694,17676,0,100
7:23:05,150875,1567,56.412,1429,51.444,793,28.548,35.388,9373.128,,275,839,694,17676,0,100
7:23:06,150714,1567,56.412,1429,51.444,810,29.16,37.008,9374.748,,275,849,736,17676,0,100
7:23:06,150548,1567,56.412,1429,51.444,832,29.952,38.672,9376.412,,275,849,763,17676,0,100
7:23:06,150378,1567,56.412,1429,51.444,849,30.564,40.37,9378.11,,275,844,763,17676,0,100
7:23:06,150205,1567,56.412,1429,51.444,868,31.248,42.106,9379.846,,275,839,777,17676,0,100
7:23:06,150024,1567,56.412,1429,51.444,889,32.004,43.884,9381.624,,275,839,805,17676,0,100
7:23:07,149843,1567,56.412,1429,51.444,905,32.58,45.694,9383.434,,275,834,805,17676,0,100
7:23:07,149658,1567,56.412,1429,51.444,925,33.3,47.544,9385.284,,275,834,819,17676,0,100
7:23:07,149470,1567,56.412,1429,51.444,944,33.984,49.432,9387.172,,275,844,875,17676,0,100
7:23:07,149278,1567,56.412,1429,51.444,962,34.632,51.356,9389.096,,275,825,875,17676,0,100
7:23:07,149083,1567,56.412,1429,51.444,981,35.316,53.318,9391.058,,275,825,902,17664,0,100
7:23:08,148883,1567,56.412,1429,51.444,1000,36.0,55.318,9393.058,,275,825,916,17676,0,100
7:23:08,148680,1567,56.412,1429,51.444,1019,36.684,57.356,9395.096,,275,820,916,17676,0,100
