时间,目标距离,EBI速度,EBI速度(km/h),目标速度,目标速度（km/h）,车速数据(cm/s),车速(km/h),计算距离(m),公里标（m）,实际长度(m),列车重量,网压,车辆速度,ATO输出的电流值,当前坡度,PID控制器期望输出的加速度
7:20:47,128037,1567,56.412,1429,51.444,0,0.0,0.0,8054.708,,272,898,0,5736,0,100
7:20:48,128036,1567,56.412,1429,51.444,2,0.072,0.004,8054.712,,272,888,0,6132,0,100
7:20:48,128035,1567,56.412,1429,51.444,5,0.18,0.014,8054.722,,272,888,0,6624,0,100
7:20:48,128034,1567,56.412,1429,51.444,7,0.252,0.028,8054.736,,271,888,0,6960,0,100
7:20:48,128032,1567,56.412,1429,51.444,9,0.324,0.046,8054.754,,272,893,0,7452,0,100
7:20:48,128030,1567,56.412,1429,51.444,14,0.504,0.074,8054.782,,272,893,0,8196,0,100
7:20:49,128026,1567,56.412,1429,51.444,18,0.648,0.11,8054.818,,272,893,0,8592,0,100
7:20:49,128021,1567,56.412,1429,51.444,23,0.828,0.156,8054.864,,271,888,0,9096,0,100
7:20:49,128016,1567,56.412,1429,51.444,28,1.008,0.212,8054.92,,271,888,0,9420,0,100
7:20:49,128009,1567,56.412,1429,51.444,36,1.296,0.284,8054.992,,271,888,0,9912,0,100
7:20:49,128000,1567,56.412,1429,51.444,42,1.512,0.368,8055.076,,272,893,0,10224,0,100
7:20:50,127990,1567,56.412,1429,51.444,51,1.836,0.47,8055.178,,272,898,13,11148,0,100
7:20:50,127978,1567,56.412,1429,51.444,60,2.16,0.59,8055.298,,272,898,13,11376,0,100
7:20:50,127964,1567,56.412,1429,51.444,70,2.52,0.73,8055.438,,272,898,27,11880,0,100
7:20:50,127948,1567,56.412,1429,51.444,80,2.88,0.89,8055.598,,272,893,41,12372,0,100
7:20:50,127929,1567,56.412,1429,51.444,92,3.312,1.074,8055.782,,272,893,41,13104,0,100
7:20:51,127909,1567,56.412,1429,51.444,104,3.744,1.282,8055.99,,271,893,41,13524,0,100
7:20:51,127885,1567,56.412,1429,51.444,118,4.248,1.518,8056.226,,271,893,41,13848,0,100
7:20:51,127859,1567,56.412,1429,51.444,131,4.716,1.78,8056.488,,271,888,69,14340,0,100
7:20:51,127830,1567,56.412,1429,51.444,145,5.22,2.07,8056.778,,272,888,83,15144,0,100
7:20:51,127798,1567,56.412,1429,51.444,160,5.76,2.39,8057.098,,272,888,83,15576,0,100
7:20:52,127763,1567,56.412,1429,51.444,176,6.336,2.742,8057.45,,272,888,97,15972,0,100
7:20:52,127724,1567,56.412,1429,51.444,194,6.984,3.13,8057.838,,272,883,97,16296,0,100
7:20:52,127682,1567,56.412,1429,51.444,211,7.596,3.552,8058.26,,272,888,125,16800,0,100
7:20:52,127637,1567,56.412,1429,51.444,230,8.28,4.012,8058.72,,272,888,152,17592,0,100
7:20:52,127586,1567,56.412,1429,51.444,249,8.964,4.51,8059.218,,272,883,166,17652,0,100
7:20:53,127532,1567,56.412,1429,51.444,268,9.648,5.046,8059.754,,272,883,166,17676,0,100
7:20:53,127475,1567,56.412,1429,51.444,287,10.332,5.62,8060.328,,272,878,194,17676,0,100
7:20:53,127414,1567,56.412,1429,51.444,306,11.016,6.232,8060.94,,272,854,222,17688,0,100
7:20:53,127349,1567,56.412,1429,51.444,324,11.664,6.88,8061.588,,272,839,222,17676,0,100
7:20:53,127281,1567,56.412,1429,51.444,343,12.348,7.566,8062.274,,272,839,236,17676,0,100
7:20:54,127209,1567,56.412,1429,51.444,361,12.996,8.288,8062.996,,272,839,277,17676,0,100
7:20:54,127133,1567,56.412,1429,51.444,381,13.716,9.05,8063.758,,272,830,277,17676,0,100
7:20:54,127053,1567,56.412,1429,51.444,399,14.364,9.848,8064.556,,271,820,305,17676,0,100
7:20:54,126970,1567,56.412,1429,51.444,417,15.012,10.682,8065.39,,272,820,347,17676,0,100
7:20:54,126881,1567,56.412,1429,51.444,435,15.66,11.552,8066.26,,272,854,347,17676,0,100
7:20:55,126790,1567,56.412,1429,51.444,456,16.416,12.464,8067.172,,272,854,361,17676,0,100
7:20:55,126691,1567,56.412,1429,51.444,473,17.028,13.41,8068.118,,272,874,388,17676,0,100
7:20:55,126593,1567,56.412,1429,51.444,492,17.712,14.394,8069.102,,271,874,416,17676,0,100
7:20:55,126491,1567,56.412,1429,51.444,509,18.324,15.412,8070.12,,271,874,416,17676,0,100
7:20:55,126386,1567,56.412,1429,51.444,529,19.044,16.47,8071.178,,272,864,430,17676,0,100
