时间,目标距离,EBI速度,EBI速度(km/h),目标速度,目标速度（km/h）,车速数据(cm/s),车速(km/h),计算距离(m),公里标（m）,实际长度(m),列车重量,网压,车辆速度,ATO输出的电流值,当前坡度,PID控制器期望输出的加速度
9:34:11,24586,873,31.428,735,26.46,0,0.0,0.0,42562.768,,218,791,0,5004,2,100
9:34:11,24586,873,31.428,735,26.46,1,0.036,0.002,42562.77,,218,795,0,5316,2,100
9:34:12,24586,873,31.428,735,26.46,1,0.036,0.004,42562.772,,218,795,0,6888,2,100
9:34:12,24587,873,31.428,735,26.46,3,0.108,0.01,42562.778,,218,795,0,7740,2,100
9:34:12,24585,873,31.428,735,26.46,11,0.396,0.032,42562.8,,218,791,0,8232,2,100
9:34:13,24582,873,31.428,735,26.46,16,0.576,0.064,42562.832,,218,791,0,8652,2,100
9:34:13,24578,873,31.428,735,26.46,21,0.756,0.106,42562.874,,218,791,0,9348,2,100
9:34:13,24572,873,31.428,735,26.46,28,1.008,0.162,42562.93,,218,786,0,9840,2,100
9:34:13,24565,873,31.428,735,26.46,33,1.188,0.228,42562.996,,218,791,0,10200,2,100
9:34:13,24557,873,31.428,735,26.46,42,1.512,0.312,42563.08,,218,791,0,10692,2,100
9:34:14,24547,873,31.428,735,26.46,49,1.764,0.41,42563.178,,218,791,13,11112,2,100
9:34:14,24536,873,31.428,735,26.46,58,2.088,0.526,42563.294,,218,791,13,11784,2,100
9:34:14,24522,873,31.428,735,26.46,68,2.448,0.662,42563.43,,218,786,13,12168,2,100
9:34:14,24506,873,31.428,735,26.46,79,2.844,0.82,42563.588,,218,781,27,12648,2,100
9:34:14,24488,873,31.428,735,26.46,91,3.276,1.002,42563.77,,218,786,41,13140,2,100
9:34:15,24468,873,31.428,735,26.46,103,3.708,1.208,42563.976,,218,786,41,13572,2,100
9:34:15,24444,873,31.428,735,26.46,116,4.176,1.44,42564.208,,218,781,55,14256,2,100
9:34:15,24419,873,31.428,735,26.46,128,4.608,1.696,42564.464,,218,781,69,14628,2,100
9:34:15,24390,873,31.428,735,26.46,145,5.22,1.986,42564.754,,218,771,69,15108,2,100
9:34:15,24358,873,31.428,735,26.46,159,5.724,2.304,42565.072,,218,771,83,15600,2,100
9:34:16,24323,873,31.428,735,26.46,176,6.336,2.656,42565.424,,218,771,97,16404,2,100
9:34:16,24285,873,31.428,735,26.46,191,6.876,3.038,42565.806,,218,766,125,16716,2,100
9:34:16,24243,873,31.428,735,26.46,208,7.488,3.454,42566.222,,218,766,125,17196,2,100
9:34:16,24197,873,31.428,735,26.46,228,8.208,3.91,42566.678,,218,766,152,17568,2,100
9:34:16,24148,873,31.428,735,26.46,246,8.856,4.402,42567.17,,218,766,152,17652,2,100
9:34:17,24095,873,31.428,735,26.46,265,9.54,4.932,42567.7,,218,766,180,17664,2,100
9:34:17,24038,873,31.428,735,26.46,283,10.188,5.498,42568.266,,218,766,180,17664,2,100
9:34:17,23979,873,31.428,735,26.46,300,10.8,6.098,42568.866,,218,761,180,17664,2,100
9:34:17,23896,873,31.428,735,26.46,319,11.484,6.736,42569.504,,218,761,222,17664,2,100
9:34:17,23829,873,31.428,735,26.46,337,12.132,7.41,42570.178,,218,751,263,17664,2,100
9:34:18,23758,873,31.428,735,26.46,355,12.78,8.12,42570.888,,218,751,277,17664,2,100
9:34:18,23684,873,31.428,735,26.46,373,13.428,8.866,42571.634,,218,751,277,17664,2,100
9:34:18,23606,873,31.428,735,26.46,390,14.04,9.646,42572.414,,218,751,305,17664,2,100
9:34:18,23522,873,31.428,735,26.46,410,14.76,10.466,42573.234,,218,747,305,17664,2,100
9:34:18,23437,873,31.428,735,26.46,426,15.336,11.318,42574.086,,218,747,347,17664,2,100
9:34:19,23348,873,31.428,735,26.46,444,15.984,12.206,42574.974,,218,747,361,17664,2,100
9:34:19,23256,873,31.428,735,26.46,464,16.704,13.134,42575.902,,218,747,388,17664,2,100
9:34:19,23160,873,31.428,735,26.46,480,17.28,14.094,42576.862,,218,747,388,17664,2,100
9:34:19,23061,873,31.428,735,26.46,498,17.928,15.09,42577.858,,218,747,430,17664,2,100
9:34:19,22958,873,31.428,735,26.46,515,18.54,16.12,42578.888,,218,747,444,17664,2,100
9:34:20,22851,873,31.428,735,26.46,534,19.224,17.188,42579.956,,218,747,444,17664,2,100
9:34:20,22741,873,31.428,735,26.46,552,19.872,18.292,42581.06,,218,747,458,17664,2,100
9:34:20,22628,873,31.428,735,26.46,569,20.484,19.43,42582.198,,218,742,458,17664,2,94
9:34:20,22507,873,31.428,735,26.46,587,21.132,20.604,42583.372,,218,742,500,17664,2,80
9:34:20,22387,873,31.428,735,26.46,605,21.78,21.814,42584.582,,218,742,513,17664,2,66
9:34:21,22262,873,31.428,735,26.46,624,22.464,23.062,42585.83,,218,742,541,17520,2,49
9:34:21,22135,873,31.428,735,26.46,640,23.04,24.342,42587.11,,218,742,541,17040,2,37
9:34:21,22004,873,31.428,735,26.46,655,23.58,25.652,42588.42,,218,747,569,15408,2,29
9:34:21,21871,873,31.428,735,26.46,665,23.94,26.982,42589.75,,218,742,611,13704,2,28
9:34:21,21737,873,31.428,735,26.46,675,24.3,28.332,42591.1,,218,747,611,10104,2,26
9:34:22,21601,873,31.428,735,26.46,681,24.516,29.694,42592.462,,218,747,625,9120,2,27
9:34:22,21464,873,31.428,735,26.46,687,24.732,31.068,42593.836,,218,761,638,8256,2,26
9:34:22,21326,873,31.428,735,26.46,689,24.804,32.446,42595.214,,218,766,666,7872,2,29
9:34:22,21184,873,31.428,735,26.46,695,25.02,33.836,42596.604,,218,766,666,7680,2,25
9:34:22,21045,873,31.428,735,26.46,698,25.128,35.232,42598.0,,218,766,680,7608,2,22
9:34:23,20904,873,31.428,735,26.46,704,25.344,36.64,42599.408,,218,766,680,7656,2,16
9:34:23,20763,873,31.428,735,26.46,706,25.416,38.052,42600.82,,218,776,680,7884,2,15
9:34:23,20622,873,31.428,735,26.46,711,25.596,39.474,42602.242,,218,766,694,7596,2,12
9:34:23,20479,873,31.428,735,26.46,715,25.74,40.904,42603.672,,218,766,694,6648,2,8
9:34:23,20336,873,31.428,735,26.46,716,25.776,42.336,42605.104,,218,776,694,6288,2,10
9:34:24,20193,873,31.428,735,26.46,718,25.848,43.772,42606.54,,218,776,694,6120,2,11
9:34:24,20050,873,31.428,735,26.46,718,25.848,45.208,42607.976,,218,776,708,5772,2,13
9:34:24,19906,873,31.428,735,26.46,720,25.92,46.648,42609.416,,218,786,708,5316,2,12
9:34:24,19759,873,31.428,735,26.46,720,25.92,48.088,42610.856,,218,791,708,5424,2,11
9:34:24,19615,873,31.428,735,26.46,722,25.992,49.532,42612.3,,218,791,708,5640,2,10
9:34:25,19471,873,31.428,735,26.46,720,25.92,50.972,42613.74,,218,800,722,5736,2,13
9:34:25,19326,873,31.428,735,26.46,725,26.1,52.422,42615.19,,218,795,722,5628,2,7
9:34:25,19182,873,31.428,735,26.46,723,26.028,53.868,42616.636,,218,795,722,5592,2,8
9:34:25,19037,873,31.428,735,26.46,725,26.1,55.318,42618.086,,218,795,722,5556,2,8
9:34:25,18892,873,31.428,735,26.46,726,26.136,56.77,42619.538,,218,795,722,5568,2,6
9:34:26,18747,873,31.428,735,26.46,727,26.172,58.224,42620.992,,218,795,722,5124,2,5
9:34:26,18602,873,31.428,735,26.46,728,26.208,59.68,42622.448,,218,795,722,5064,2,5
9:34:26,18457,873,31.428,735,26.46,726,26.136,61.132,42623.9,,218,791,722,4992,2,9
9:34:26,18308,873,31.428,735,26.46,728,26.208,62.588,42625.356,,218,791,722,4824,2,8
9:34:26,18164,873,31.428,735,26.46,726,26.136,64.04,42626.808,,218,791,722,4776,2,9
9:34:27,18019,873,31.428,735,26.46,727,26.172,65.494,42628.262,,218,786,722,4668,2,9
9:34:27,17874,873,31.428,735,26.46,727,26.172,66.948,42629.716,,218,786,722,4992,2,7
9:34:27,17728,873,31.428,735,26.46,728,26.208,68.404,42631.172,,218,795,722,5148,2,6
9:34:27,17583,873,31.428,735,26.46,726,26.136,69.856,42632.624,,218,786,722,5208,2,9
9:34:27,17438,873,31.428,735,26.46,727,26.172,71.31,42634.078,,218,786,722,5196,2,9
9:34:28,17293,873,31.428,735,26.46,728,26.208,72.766,42635.534,,218,781,722,5052,2,6
9:34:28,17148,873,31.428,735,26.46,725,26.1,74.216,42636.984,,218,781,722,4884,2,10
9:34:28,17004,873,31.428,735,26.46,725,26.1,75.666,42638.434,,218,781,722,5208,2,12
9:34:28,16856,873,31.428,735,26.46,724,26.064,77.114,42639.882,,218,776,722,5028,2,12
9:34:28,16711,873,31.428,735,26.46,725,26.1,78.564,42641.332,,218,776,722,4908,2,10
9:34:29,16566,873,31.428,735,26.46,726,26.136,80.016,42642.784,,218,781,722,5244,2,7
9:34:29,16421,873,31.428,735,26.46,727,26.172,81.47,42644.238,,218,776,722,5688,2,5
9:34:29,16276,873,31.428,735,26.46,729,26.244,82.928,42645.696,,218,776,722,5532,2,3
9:34:29,16130,873,31.428,735,26.46,728,26.208,84.384,42647.152,,218,776,722,5316,2,5
9:34:29,15985,873,31.428,735,26.46,729,26.244,85.842,42648.61,,218,776,722,5028,2,6
9:34:30,15840,873,31.428,735,26.46,728,26.208,87.298,42650.066,,218,776,722,4812,2,7
9:34:30,15694,873,31.428,735,26.46,729,26.244,88.756,42651.524,,218,776,722,4512,2,7
