时间,目标距离,EBI速度,EBI速度(km/h),目标速度,目标速度（km/h）,车速数据(cm/s),车速(km/h),计算距离(m),公里标（m）,实际长度(m),列车重量,网压,车辆速度,ATO输出的电流值,当前坡度,PID控制器期望输出的加速度
8:18:14,24588,873,31.428,735,26.46,0,0.0,0.0,19883.524,,218,781,0,6624,2,100
8:18:14,24588,873,31.428,735,26.46,1,0.036,0.002,19883.526,,218,781,0,7116,2,100
8:18:14,24589,873,31.428,735,26.46,4,0.144,0.01,19883.534,,218,786,0,7944,2,100
8:18:14,24587,873,31.428,735,26.46,12,0.432,0.034,19883.558,,218,771,0,8436,2,100
8:18:15,24583,873,31.428,735,26.46,17,0.612,0.068,19883.592,,218,786,0,8676,2,100
8:18:15,24579,873,31.428,735,26.46,25,0.9,0.118,19883.642,,218,786,0,9576,2,100
8:18:15,24573,873,31.428,735,26.46,28,1.008,0.174,19883.698,,218,771,0,10080,2,100
8:18:15,24566,873,31.428,735,26.46,37,1.332,0.248,19883.772,,218,771,0,10404,2,100
8:18:15,24557,873,31.428,735,26.46,43,1.548,0.334,19883.858,,218,771,0,10716,2,100
8:18:16,24547,873,31.428,735,26.46,52,1.872,0.438,19883.962,,218,781,0,11628,2,100
8:18:16,24534,873,31.428,735,26.46,61,2.196,0.56,19884.084,,218,805,13,12024,2,100
8:18:16,24520,873,31.428,735,26.46,72,2.592,0.704,19884.228,,218,805,27,12360,2,100
8:18:16,24503,873,31.428,735,26.46,83,2.988,0.87,19884.394,,218,810,27,12852,2,100
8:18:16,24485,873,31.428,735,26.46,94,3.384,1.058,19884.582,,218,800,41,13164,2,100
8:18:17,24463,873,31.428,735,26.46,105,3.78,1.268,19884.792,,218,795,55,13992,2,100
8:18:17,24440,873,31.428,735,26.46,120,4.32,1.508,19885.032,,218,795,55,14496,2,100
8:18:17,24413,873,31.428,735,26.46,133,4.788,1.774,19885.298,,218,800,69,14832,2,100
8:18:17,24383,873,31.428,735,26.46,149,5.364,2.072,19885.596,,218,800,69,15312,2,100
8:18:17,24351,873,31.428,735,26.46,163,5.868,2.398,19885.922,,218,781,83,15624,2,100
8:18:18,24315,873,31.428,735,26.46,179,6.444,2.756,19886.28,,218,781,111,16452,2,100
8:18:18,24275,873,31.428,735,26.46,198,7.128,3.152,19886.676,,218,786,138,16944,2,100
8:18:18,24232,873,31.428,735,26.46,214,7.704,3.58,19887.104,,218,786,138,17268,2,100
8:18:18,24185,873,31.428,735,26.46,233,8.388,4.046,19887.57,,218,776,138,17616,2,100
8:18:18,24135,873,31.428,735,26.46,252,9.072,4.55,19888.074,,218,776,180,17664,2,100
8:18:19,24081,873,31.428,735,26.46,270,9.72,5.09,19888.614,,218,776,180,17664,2,100
8:18:19,24024,873,31.428,735,26.46,288,10.368,5.666,19889.19,,218,776,194,17664,2,100
8:18:19,23963,873,31.428,735,26.46,305,10.98,6.276,19889.8,,218,776,222,17676,2,100
8:18:19,23879,873,31.428,735,26.46,323,11.628,6.922,19890.446,,218,781,250,17676,2,100
8:18:19,23810,873,31.428,735,26.46,342,12.312,7.606,19891.13,,218,781,250,17664,2,100
8:18:20,23738,873,31.428,735,26.46,360,12.96,8.326,19891.85,,218,781,291,17664,2,100
8:18:20,23661,873,31.428,735,26.46,377,13.572,9.08,19892.604,,218,781,291,17664,2,100
8:18:20,23582,873,31.428,735,26.46,396,14.256,9.872,19893.396,,218,781,305,17676,2,100
8:18:20,23500,873,31.428,735,26.46,414,14.904,10.7,19894.224,,218,776,305,17664,2,100
8:18:20,23414,873,31.428,735,26.46,431,15.516,11.562,19895.086,,218,776,333,17664,2,100
8:18:21,23324,873,31.428,735,26.46,449,16.164,12.46,19895.984,,218,786,375,17664,2,100
8:18:21,23231,873,31.428,735,26.46,468,16.848,13.396,19896.92,,218,786,375,17676,2,100
8:18:21,23134,873,31.428,735,26.46,484,17.424,14.364,19897.888,,218,800,402,17664,2,100
8:18:21,23034,873,31.428,735,26.46,502,18.072,15.368,19898.892,,218,849,430,17676,2,100
8:18:21,22930,873,31.428,735,26.46,521,18.756,16.41,19899.934,,218,849,430,17664,2,100
8:18:22,22822,873,31.428,735,26.46,538,19.368,17.486,19901.01,,218,864,472,17664,2,100
8:18:22,22709,873,31.428,735,26.46,557,20.052,18.6,19902.124,,218,849,500,17664,2,100
8:18:22,22594,873,31.428,735,26.46,573,20.628,19.746,19903.27,,218,849,500,17664,2,91
8:18:22,22476,873,31.428,735,26.46,593,21.348,20.932,19904.456,,218,844,500,17664,2,75
