时间,目标距离,EBI速度,EBI速度(km/h),目标速度,目标速度（km/h）,车速数据(cm/s),车速(km/h),计算距离(m),公里标（m）,实际长度(m),列车重量,网压,车辆速度,ATO输出的电流值,当前坡度,PID控制器期望输出的加速度
10:07:53,134950,1568,56.448,1430,51.48,0,0.0,0.0,61667.558,,276,786,0,6072,2,100
10:07:53,134950,1568,56.448,1430,51.48,2,0.072,0.004,61667.562,,276,786,0,6360,2,100
10:07:54,134948,1568,56.448,1430,51.48,7,0.252,0.018,61667.576,,276,786,0,6756,2,100
10:07:54,134947,1568,56.448,1430,51.48,7,0.252,0.032,61667.59,,276,776,0,7248,2,100
10:07:54,134945,1568,56.448,1430,51.48,8,0.288,0.048,61667.606,,276,776,0,7668,2,100
10:07:54,134943,1568,56.448,1430,51.48,14,0.504,0.076,61667.634,,276,786,0,8148,2,100
10:07:54,134939,1568,56.448,1430,51.48,18,0.648,0.112,61667.67,,276,776,0,8808,2,100
10:07:55,134934,1568,56.448,1430,51.48,24,0.864,0.16,61667.718,,276,776,0,9216,2,100
10:07:55,134929,1568,56.448,1430,51.48,28,1.008,0.216,61667.774,,276,776,0,9708,2,100
10:07:55,134922,1568,56.448,1430,51.48,36,1.296,0.288,61667.846,,276,771,0,10500,2,100
10:07:55,134913,1568,56.448,1430,51.48,42,1.512,0.372,61667.93,,276,771,0,10776,2,100
10:07:55,134903,1568,56.448,1430,51.48,51,1.836,0.474,61668.032,,276,786,13,11184,2,100
10:07:56,134891,1568,56.448,1430,51.48,59,2.124,0.592,61668.15,,276,786,13,11664,2,100
10:07:56,134877,1568,56.448,1430,51.48,70,2.52,0.732,61668.29,,276,776,13,12084,2,100
10:07:56,134861,1568,56.448,1430,51.48,80,2.88,0.892,61668.45,,276,781,27,12948,2,100
10:07:56,134842,1568,56.448,1430,51.48,92,3.312,1.076,61668.634,,276,781,41,13224,2,100
10:07:56,134822,1568,56.448,1430,51.48,104,3.744,1.284,61668.842,,276,776,41,13644,2,100
10:07:57,134798,1568,56.448,1430,51.48,116,4.176,1.516,61669.074,,276,776,55,14136,2,100
