时间,目标距离,EBI速度,EBI速度(km/h),目标速度,目标速度（km/h）,车速数据(cm/s),车速(km/h),计算距离(m),公里标（m）,实际长度(m),列车重量,网压,车辆速度,ATO输出的电流值,当前坡度,PID控制器期望输出的加速度
11:18:25,164631,1567,56.412,1429,51.444,0,0.0,0.0,80383.914,,255,805,0,5700,0,100
11:18:25,164631,1567,56.412,1429,51.444,2,0.072,0.004,80383.918,,255,805,0,6192,0,100
11:18:26,164630,1567,56.412,1429,51.444,6,0.216,0.016,80383.93,,255,800,0,6540,0,100
11:18:26,164628,1567,56.412,1429,51.444,8,0.288,0.032,80383.946,,255,791,0,7248,0,100
11:18:26,164626,1567,56.412,1429,51.444,10,0.36,0.052,80383.966,,255,791,0,7740,0,100
11:18:26,164623,1567,56.412,1429,51.444,15,0.54,0.082,80383.996,,255,800,0,8148,0,100
11:18:26,164619,1567,56.412,1429,51.444,20,0.72,0.122,80384.036,,255,795,0,8640,0,100
11:18:27,164614,1567,56.412,1429,51.444,24,0.864,0.17,80384.084,,255,795,0,9012,0,100
11:18:27,164608,1567,56.412,1429,51.444,31,1.116,0.232,80384.146,,255,800,0,9708,0,100
11:18:27,164601,1567,56.412,1429,51.444,38,1.368,0.308,80384.222,,255,795,0,10188,0,100
11:18:27,164592,1567,56.412,1429,51.444,46,1.656,0.4,80384.314,,255,795,0,10608,0,100
11:18:27,164581,1567,56.412,1429,51.444,54,1.944,0.508,80384.422,,255,791,13,10968,0,100
11:18:28,164568,1567,56.412,1429,51.444,62,2.232,0.632,80384.546,,255,795,27,11460,0,100
11:18:28,164554,1567,56.412,1429,51.444,73,2.628,0.778,80384.692,,255,795,27,12156,0,100
11:18:28,164537,1567,56.412,1429,51.444,83,2.988,0.944,80384.858,,255,791,27,12564,0,100
11:18:28,164518,1567,56.412,1429,51.444,96,3.456,1.136,80385.05,,255,791,41,13056,0,100
11:18:28,164497,1567,56.412,1429,51.444,106,3.816,1.348,80385.262,,255,791,41,13416,0,100
11:18:29,164473,1567,56.412,1429,51.444,120,4.32,1.588,80385.502,,255,786,69,14196,0,100
11:18:29,164446,1567,56.412,1429,51.444,135,4.86,1.858,80385.772,,255,795,69,14616,0,100
11:18:29,164416,1567,56.412,1429,51.444,149,5.364,2.156,80386.07,,255,795,69,15024,0,100
11:18:29,164383,1567,56.412,1429,51.444,164,5.904,2.484,80386.398,,255,791,97,15528,0,100
11:18:29,164347,1567,56.412,1429,51.444,181,6.516,2.846,80386.76,,255,791,111,15876,0,100
11:18:30,164308,1567,56.412,1429,51.444,197,7.092,3.24,80387.154,,255,786,138,16572,0,100
11:18:30,164265,1567,56.412,1429,51.444,216,7.776,3.672,80387.586,,255,786,138,17064,0,100
11:18:30,164218,1567,56.412,1429,51.444,234,8.424,4.14,80388.054,,255,781,138,17472,0,100
11:18:30,164168,1567,56.412,1429,51.444,253,9.108,4.646,80388.56,,255,786,194,17628,0,100
11:18:30,164113,1567,56.412,1429,51.444,272,9.792,5.19,80389.104,,255,786,194,17676,0,100
11:18:31,164054,1567,56.412,1429,51.444,291,10.476,5.772,80389.686,,255,776,194,17664,0,100
11:18:31,163992,1567,56.412,1429,51.444,310,11.16,6.392,80390.306,,255,776,194,17664,0,100
11:18:31,163926,1567,56.412,1429,51.444,329,11.844,7.05,80390.964,,255,776,236,17664,0,100
11:18:31,163860,1567,56.412,1429,51.444,346,12.456,7.742,80391.656,,255,786,277,17676,0,100
11:18:31,163787,1567,56.412,1429,51.444,366,13.176,8.474,80392.388,,255,781,291,17664,0,100
11:18:32,163711,1567,56.412,1429,51.444,384,13.824,9.242,80393.156,,255,781,291,17664,0,100
11:18:32,163630,1567,56.412,1429,51.444,404,14.544,10.05,80393.964,,255,781,305,17664,0,100
11:18:32,163546,1567,56.412,1429,51.444,422,15.192,10.894,80394.808,,255,781,305,17664,0,100
11:18:32,163459,1567,56.412,1429,51.444,439,15.804,11.772,80395.686,,255,776,347,17664,0,100
11:18:32,163367,1567,56.412,1429,51.444,459,16.524,12.69,80396.604,,255,771,375,17664,0,100
11:18:33,163270,1567,56.412,1429,51.444,477,17.172,13.644,80397.558,,255,761,375,17664,0,100
11:18:33,163171,1567,56.412,1429,51.444,496,17.856,14.636,80398.55,,255,761,402,17664,0,100
11:18:33,163068,1567,56.412,1429,51.444,515,18.54,15.666,80399.58,,255,761,444,17664,0,100
11:18:33,162962,1567,56.412,1429,51.444,533,19.188,16.732,80400.646,,255,766,444,17676,0,100
11:18:33,162852,1567,56.412,1429,51.444,551,19.836,17.834,80401.748,,255,766,458,17676,0,100
11:18:34,162738,1567,56.412,1429,51.444,570,20.52,18.974,80402.888,,255,766,472,17664,0,100
11:18:34,162621,1567,56.412,1429,51.444,587,21.132,20.148,80404.062,,255,771,472,17664,0,100
11:18:34,162500,1567,56.412,1429,51.444,606,21.816,21.36,80405.274,,255,771,513,17664,0,100
11:18:34,162375,1567,56.412,1429,51.444,625,22.5,22.61,80406.524,,255,771,555,17664,0,100
11:18:34,162247,1567,56.412,1429,51.444,644,23.184,23.898,80407.812,,255,756,555,17664,0,100
11:18:35,162112,1567,56.412,1429,51.444,661,23.796,25.22,80409.134,,255,756,569,17664,0,100
11:18:35,161976,1567,56.412,1429,51.444,681,24.516,26.582,80410.496,,255,756,569,17664,0,100
11:18:35,161836,1567,56.412,1429,51.444,699,25.164,27.98,80411.894,,255,761,597,17676,0,100
11:18:35,161693,1567,56.412,1429,51.444,717,25.812,29.414,80413.328,,255,761,625,17664,0,100
11:18:35,161546,1567,56.412,1429,51.444,736,26.496,30.886,80414.8,,255,761,652,17676,0,100
11:18:36,161396,1567,56.412,1429,51.444,754,27.144,32.394,80416.308,,255,761,652,17664,0,100
11:18:36,161241,1567,56.412,1429,51.444,774,27.864,33.942,80417.856,,255,751,680,17664,0,100
11:18:36,161083,1567,56.412,1429,51.444,792,28.512,35.526,80419.44,,255,766,722,17676,0,100
11:18:36,160922,1567,56.412,1429,51.444,810,29.16,37.146,80421.06,,255,761,722,17664,0,100
11:18:36,160756,1567,56.412,1429,51.444,830,29.88,38.806,80422.72,,255,761,736,17664,0,100
11:18:37,160583,1567,56.412,1429,51.444,848,30.528,40.502,80424.416,,255,756,736,17664,0,100
11:18:37,160410,1567,56.412,1429,51.444,868,31.248,42.238,80426.152,,255,756,777,17676,0,100
11:18:37,160233,1567,56.412,1429,51.444,886,31.896,44.01,80427.924,,255,756,819,17676,0,100
11:18:37,160052,1567,56.412,1429,51.444,904,32.544,45.818,80429.732,,255,742,819,17676,0,100
11:18:37,159868,1567,56.412,1429,51.444,924,33.264,47.666,80431.58,,255,747,833,17664,0,100
11:18:38,159680,1567,56.412,1429,51.444,942,33.912,49.55,80433.464,,255,747,847,17664,0,100
11:18:38,159489,1567,56.412,1429,51.444,960,34.56,51.47,80435.384,,255,747,847,17664,0,100
11:18:38,159293,1567,56.412,1429,51.444,978,35.208,53.426,80437.34,,255,747,888,17664,0,100
11:18:38,159094,1567,56.412,1429,51.444,998,35.928,55.422,80439.336,,255,747,902,17664,0,100
11:18:38,158892,1567,56.412,1429,51.444,1015,36.54,57.452,80441.366,,255,747,902,17664,0,100
11:18:39,158680,1567,56.412,1429,51.444,1035,37.26,59.522,80443.436,,255,742,944,17664,0,100
11:18:39,158470,1567,56.412,1429,51.444,1053,37.908,61.628,80445.542,,255,737,986,17664,0,100
11:18:39,158257,1567,56.412,1429,51.444,1070,38.52,63.768,80447.682,,255,737,986,17664,0,100
11:18:39,158039,1567,56.412,1429,51.444,1090,39.24,65.948,80449.862,,255,751,1000,17664,0,100
11:18:39,157818,1567,56.412,1429,51.444,1108,39.888,68.164,80452.078,,255,751,1013,17664,0,100
11:18:40,157593,1577,56.772,1439,51.804,1126,40.536,70.416,80454.33,,255,732,1055,17664,0,100
11:18:40,157365,1577,56.772,1439,51.804,1143,41.148,72.702,80456.616,,255,732,1055,17664,0,100
11:18:40,157134,1577,56.772,1439,51.804,1162,41.832,75.026,80458.94,,255,751,1083,17664,0,100
11:18:40,156898,1577,56.772,1439,51.804,1179,42.444,77.384,80461.298,,255,737,1097,17664,0,100
11:18:40,156660,1577,56.772,1439,51.804,1195,43.02,79.774,80463.688,,255,742,1125,17664,0,100
11:18:41,156412,1577,56.772,1439,51.804,1211,43.596,82.196,80466.11,,255,742,1125,17664,0,100
11:18:41,156168,1577,56.772,1439,51.804,1227,44.172,84.65,80468.564,,255,737,1166,17664,0,100
11:18:41,155920,1577,56.772,1439,51.804,1244,44.784,87.138,80471.052,,255,737,1166,17664,0,100
11:18:41,155668,1577,56.772,1439,51.804,1260,45.36,89.658,80473.572,,255,747,1180,17664,0,100
11:18:41,155414,1577,56.772,1439,51.804,1274,45.864,92.206,80476.12,,255,732,1180,17664,0,97
11:18:42,155157,1577,56.772,1439,51.804,1291,46.476,94.788,80478.702,,255,742,1208,17664,0,83
11:18:42,154896,1577,56.772,1439,51.804,1305,46.98,97.398,80481.312,,255,742,1236,17664,0,72
11:18:42,154633,1577,56.772,1439,51.804,1320,47.52,100.038,80483.952,,255,742,1250,17664,0,61
11:18:42,154367,1577,56.772,1439,51.804,1333,47.988,102.704,80486.618,,255,742,1250,17664,0,53
11:18:42,154098,1577,56.772,1439,51.804,1350,48.6,105.404,80489.318,,255,742,1277,17664,0,38
11:18:43,153819,1577,56.772,1439,51.804,1364,49.104,108.132,80492.046,,255,742,1305,16884,0,25
11:18:43,153544,1577,56.772,1439,51.804,1376,49.536,110.884,80494.798,,255,737,1305,15540,0,19
11:18:43,153268,1577,56.772,1439,51.804,1387,49.932,113.658,80497.572,,255,737,1319,14220,0,0
11:18:43,152989,1598,57.528,1460,52.56,1398,50.328,116.454,80500.368,,255,732,1319,12000,0,0
11:18:43,152708,1598,57.528,1460,52.56,1405,50.58,119.264,80503.178,,255,732,1347,10200,0,0
11:18:44,152428,1598,57.528,1460,52.56,1407,50.652,122.078,80505.992,,255,747,1375,7884,0,0
11:18:44,152147,2222,79.992,2084,75.024,1409,50.724,124.896,80508.81,,255,756,1388,3516,0,100
11:18:44,151866,2222,79.992,2084,75.024,1408,50.688,127.712,80511.626,,255,756,1388,2676,0,100
11:18:44,151585,2222,79.992,2084,75.024,1408,50.688,130.528,80514.442,,255,776,1402,2508,0,100
11:18:44,151304,2222,79.992,2084,75.024,1407,50.652,133.342,80517.256,,255,776,1402,2460,0,100
11:18:45,151017,2222,79.992,2084,75.024,1407,50.652,136.156,80520.07,,255,781,1402,4032,0,100
11:18:45,150736,2222,79.992,2084,75.024,1405,50.58,138.966,80522.88,,255,781,1402,4668,0,100
11:18:45,150456,2222,79.992,2084,75.024,1407,50.652,141.78,80525.694,,255,771,1402,5208,0,100
11:18:45,150175,2222,79.992,2084,75.024,1404,50.544,144.588,80528.502,,255,771,1402,5580,0,100
