时间,目标距离,EBI速度,EBI速度(km/h),目标速度,目标速度（km/h）,车速数据(cm/s),车速(km/h),计算距离(m),公里标（m）,实际长度(m),列车重量,网压,车辆速度,ATO输出的电流值,当前坡度,PID控制器期望输出的加速度
10:57:54,128611,1568,56.448,1430,51.48,0,0.0,0.0,67215.8,,220,878,0,4020,2,100
10:57:55,128611,1568,56.448,1430,51.48,1,0.036,0.002,67215.802,,220,878,0,4764,2,100
10:57:55,128611,1568,56.448,1430,51.48,3,0.108,0.008,67215.808,,220,878,0,5856,2,100
10:57:55,128610,1568,56.448,1430,51.48,6,0.216,0.02,67215.82,,220,878,0,6756,2,100
10:57:56,128608,1568,56.448,1430,51.48,8,0.288,0.036,67215.836,,220,878,0,7248,2,100
10:57:56,128606,1568,56.448,1430,51.48,10,0.36,0.056,67215.856,,220,874,0,7656,2,100
10:57:56,128603,1568,56.448,1430,51.48,15,0.54,0.086,67215.886,,220,874,0,8148,2,100
10:57:56,128600,1568,56.448,1430,51.48,19,0.684,0.124,67215.924,,220,874,0,8712,2,100
10:57:56,128595,1568,56.448,1430,51.48,24,0.864,0.172,67215.972,,220,874,0,9216,2,100
10:57:57,128589,1568,56.448,1430,51.48,29,1.044,0.23,67216.03,,220,869,0,9624,2,100
10:57:57,128582,1568,56.448,1430,51.48,35,1.26,0.3,67216.1,,220,869,0,10116,2,100
10:57:57,128574,1568,56.448,1430,51.48,42,1.512,0.384,67216.184,,220,869,0,10488,2,100
10:57:57,128564,1568,56.448,1430,51.48,51,1.836,0.486,67216.286,,220,874,13,11172,2,100
10:57:57,128551,1568,56.448,1430,51.48,59,2.124,0.604,67216.404,,220,874,13,11664,2,100
10:57:58,128538,1568,56.448,1430,51.48,69,2.484,0.742,67216.542,,220,869,27,12084,2,100
10:57:58,128522,1568,56.448,1430,51.48,78,2.808,0.898,67216.698,,220,864,41,12564,2,100
10:57:58,128504,1568,56.448,1430,51.48,91,3.276,1.08,67216.88,,220,830,41,12744,2,100
10:57:58,128483,1568,56.448,1430,51.48,102,3.672,1.284,67217.084,,220,810,41,13632,2,100
10:57:58,128460,1568,56.448,1430,51.48,116,4.176,1.516,67217.316,,220,810,41,14124,2,100
10:57:59,128435,1568,56.448,1430,51.48,128,4.608,1.772,67217.572,,220,805,69,14544,2,100
10:57:59,128406,1568,56.448,1430,51.48,143,5.148,2.058,67217.858,,220,791,83,14904,2,100
10:57:59,128375,1568,56.448,1430,51.48,158,5.688,2.374,67218.174,,220,791,111,15588,2,100
10:57:59,128340,1568,56.448,1430,51.48,173,6.228,2.72,67218.52,,220,795,111,16092,2,100
10:57:59,128301,1568,56.448,1430,51.48,191,6.876,3.102,67218.902,,220,795,111,16500,2,100
10:58:00,128260,1568,56.448,1430,51.48,207,7.452,3.516,67219.316,,220,795,111,16992,2,100
10:58:00,128215,1568,56.448,1430,51.48,225,8.1,3.966,67219.766,,220,786,152,17352,2,100
10:58:00,128166,1568,56.448,1430,51.48,245,8.82,4.456,67220.256,,220,786,166,17652,2,100
10:58:00,128113,1568,56.448,1430,51.48,263,9.468,4.982,67220.782,,220,786,166,17664,2,100
10:58:00,128057,1568,56.448,1430,51.48,281,10.116,5.544,67221.344,,220,786,180,17664,2,100
10:58:01,127998,1568,56.448,1430,51.48,298,10.728,6.14,67221.94,,220,781,222,17664,2,100
10:58:01,127934,1568,56.448,1430,51.48,318,11.448,6.776,67222.576,,220,776,250,17664,2,100
10:58:01,127867,1568,56.448,1430,51.48,336,12.096,7.448,67223.248,,220,776,250,17664,2,100
10:58:01,127797,1568,56.448,1430,51.48,353,12.708,8.154,67223.954,,220,781,263,17664,2,100
10:58:01,127721,1568,56.448,1430,51.48,371,13.356,8.896,67224.696,,220,771,263,17664,2,100
10:58:02,127641,1568,56.448,1430,51.48,390,14.04,9.676,67225.476,,220,771,305,17664,2,100
10:58:02,127560,1568,56.448,1430,51.48,408,14.688,10.492,67226.292,,220,781,319,17664,2,100
10:58:02,127475,1568,56.448,1430,51.48,426,15.336,11.344,67227.144,,220,781,319,17664,2,100
10:58:02,127386,1568,56.448,1430,51.48,444,15.984,12.232,67228.032,,220,786,361,17664,2,100
10:58:02,127294,1568,56.448,1430,51.48,462,16.632,13.156,67228.956,,220,781,375,17664,2,100
10:58:03,127198,1568,56.448,1430,51.48,480,17.28,14.116,67229.916,,220,776,416,17664,2,100
10:58:03,127099,1568,56.448,1430,51.48,498,17.928,15.112,67230.912,,220,776,416,17664,2,100
10:58:03,126996,1568,56.448,1430,51.48,515,18.54,16.142,67231.942,,220,776,430,17664,2,100
10:58:03,126890,1568,56.448,1430,51.48,533,19.188,17.208,67233.008,,220,776,444,17664,2,100
10:58:03,126777,1568,56.448,1430,51.48,552,19.872,18.312,67234.112,,220,776,444,17664,2,100
10:58:04,126663,1568,56.448,1430,51.48,569,20.484,19.45,67235.25,,220,771,486,17664,2,100
10:58:04,126546,1568,56.448,1430,51.48,589,21.204,20.628,67236.428,,220,766,500,17664,2,100
10:58:04,126425,1568,56.448,1430,51.48,605,21.78,21.838,67237.638,,220,766,500,17664,2,100
10:58:04,126301,1568,56.448,1430,51.48,624,22.464,23.086,67238.886,,220,766,541,17652,2,100
10:58:04,126173,1568,56.448,1430,51.48,641,23.076,24.368,67240.168,,220,766,583,17664,2,100
10:58:05,126041,1568,56.448,1430,51.48,659,23.724,25.686,67241.486,,220,766,583,17664,2,100
10:58:05,125906,1568,56.448,1430,51.48,678,24.408,27.042,67242.842,,220,756,611,17664,2,100
10:58:05,125767,1568,56.448,1430,51.48,696,25.056,28.434,67244.234,,220,756,611,17664,2,100
10:58:05,125625,1568,56.448,1430,51.48,713,25.668,29.86,67245.66,,220,761,611,17664,2,100
10:58:05,125475,1568,56.448,1430,51.48,732,26.352,31.324,67247.124,,220,756,652,17664,2,100
10:58:06,125325,1568,56.448,1430,51.48,750,27.0,32.824,67248.624,,220,756,680,17664,2,100
10:58:06,125172,1568,56.448,1430,51.48,770,27.72,34.364,67250.164,,220,756,680,17664,2,100
10:58:06,125015,1568,56.448,1430,51.48,787,28.332,35.938,67251.738,,220,756,680,17664,2,100
10:58:06,124854,1568,56.448,1430,51.48,805,28.98,37.548,67253.348,,220,747,722,17664,2,100
10:58:06,124690,1568,56.448,1430,51.48,823,29.628,39.194,67254.994,,220,747,722,17664,2,100
10:58:07,124522,1568,56.448,1430,51.48,841,30.276,40.876,67256.676,,220,747,763,17652,2,100
10:58:07,124351,1568,56.448,1430,51.48,859,30.924,42.594,67258.394,,220,747,777,17664,2,100
10:58:07,124176,1568,56.448,1430,51.48,877,31.572,44.348,67260.148,,220,747,805,17664,2,100
10:58:07,123997,1568,56.448,1430,51.48,896,32.256,46.14,67261.94,,220,747,805,17652,2,100
10:58:07,123810,1568,56.448,1430,51.48,914,32.904,47.968,67263.768,,220,742,847,17664,2,100
10:58:08,123624,1568,56.448,1430,51.48,934,33.624,49.836,67265.636,,220,742,847,17652,2,100
10:58:08,123434,1568,56.448,1430,51.48,951,34.236,51.738,67267.538,,220,732,847,17664,2,100
10:58:08,123241,1568,56.448,1430,51.48,967,34.812,53.672,67269.472,,220,732,888,17664,2,100
10:58:08,123044,1568,56.448,1430,51.48,987,35.532,55.646,67271.446,,220,732,888,17664,2,100
10:58:08,122844,1568,56.448,1430,51.48,1005,36.18,57.656,67273.456,,220,732,916,17652,2,100
10:58:09,122639,1568,56.448,1430,51.48,1023,36.828,59.702,67275.502,,220,722,944,17652,2,100
10:58:09,122432,1568,56.448,1430,51.48,1041,37.476,61.784,67277.584,,220,722,944,17652,2,100
10:58:09,122221,1568,56.448,1430,51.48,1058,38.088,63.9,67279.7,,220,722,958,17652,2,100
10:58:09,122006,1568,56.448,1430,51.48,1075,38.7,66.05,67281.85,,220,722,1000,17652,2,100
10:58:09,121782,1568,56.448,1430,51.48,1095,39.42,68.24,67284.04,,220,722,1000,17664,2,100
10:58:10,121561,1578,56.808,1440,51.84,1111,39.996,70.462,67286.262,,220,717,1027,17664,2,100
10:58:10,121336,1578,56.808,1440,51.84,1129,40.644,72.72,67288.52,,220,717,1027,17664,2,100
10:58:10,121107,1578,56.808,1440,51.84,1145,41.22,75.01,67290.81,,220,727,1083,17664,2,100
10:58:10,120875,1578,56.808,1440,51.84,1162,41.832,77.334,67293.134,,220,717,1083,17652,2,100
10:58:10,120640,1578,56.808,1440,51.84,1178,42.408,79.69,67295.49,,220,717,1111,17664,2,100
10:58:11,120402,1578,56.808,1440,51.84,1193,42.948,82.076,67297.876,,220,712,1111,17664,2,100
