时间,目标距离,EBI速度,EBI速度(km/h),目标速度,目标速度（km/h）,车速数据(cm/s),车速(km/h),计算距离(m),公里标（m）,实际长度(m),列车重量,网压,车辆速度,ATO输出的电流值,当前坡度,PID控制器期望输出的加速度
7:15:21,202106,1567,56.412,1429,51.444,0,0.0,0.0,4360.55,,252,869,0,5532,0,100
7:15:22,202105,1567,56.412,1429,51.444,3,0.108,0.006,4360.556,,252,869,0,6036,0,100
7:15:22,202104,1567,56.412,1429,51.444,5,0.18,0.016,4360.566,,252,859,0,6300,0,100
7:15:22,202102,1567,56.412,1429,51.444,9,0.324,0.034,4360.584,,252,859,0,7236,0,100
7:15:22,202100,1567,56.412,1429,51.444,11,0.396,0.056,4360.606,,252,854,0,7644,0,100
7:15:22,202097,1567,56.412,1429,51.444,13,0.468,0.082,4360.632,,252,854,0,7980,0,100
7:15:23,202093,1567,56.412,1429,51.444,20,0.72,0.122,4360.672,,252,825,0,8484,0,100
7:15:23,202089,1567,56.412,1429,51.444,25,0.9,0.172,4360.722,,252,825,0,9264,0,100
7:15:23,202083,1567,56.412,1429,51.444,30,1.08,0.232,4360.782,,252,815,0,9612,0,100
7:15:23,202075,1567,56.412,1429,51.444,37,1.332,0.306,4360.856,,252,810,0,10104,0,100
7:15:23,202066,1567,56.412,1429,51.444,45,1.62,0.396,4360.946,,252,810,0,10452,0,100
7:15:24,202056,1567,56.412,1429,51.444,52,1.872,0.5,4361.05,,252,810,13,10932,0,100
7:15:24,202043,1567,56.412,1429,51.444,62,2.232,0.624,4361.174,,252,810,13,11220,0,100
7:15:24,202029,1567,56.412,1429,51.444,72,2.592,0.768,4361.318,,252,805,27,12060,0,100
7:15:24,202012,1567,56.412,1429,51.444,83,2.988,0.934,4361.484,,252,805,41,12552,0,100
7:15:24,201994,1567,56.412,1429,51.444,93,3.348,1.12,4361.67,,252,805,41,12900,0,100
7:15:25,201973,1567,56.412,1429,51.444,106,3.816,1.332,4361.882,,252,805,55,13392,0,100
7:15:25,201949,1567,56.412,1429,51.444,118,4.248,1.568,4362.118,,252,805,55,13680,0,100
7:15:25,201923,1567,56.412,1429,51.444,132,4.752,1.832,4362.382,,252,805,55,14616,0,100
7:15:25,201894,1567,56.412,1429,51.444,145,5.22,2.122,4362.672,,252,791,83,15012,0,100
7:15:25,201861,1567,56.412,1429,51.444,162,5.832,2.446,4362.996,,252,791,97,15372,0,100
7:15:26,201826,1567,56.412,1429,51.444,178,6.408,2.802,4363.352,,252,781,97,15636,0,100
7:15:26,201787,1567,56.412,1429,51.444,195,7.02,3.192,4363.742,,252,795,111,16572,0,100
7:15:26,201744,1567,56.412,1429,51.444,212,7.632,3.616,4364.166,,252,795,138,17064,0,100
7:15:26,201697,1567,56.412,1429,51.444,231,8.316,4.078,4364.628,,252,776,138,17328,0,100
7:15:26,201648,1567,56.412,1429,51.444,250,9.0,4.578,4365.128,,252,781,152,17640,0,100
7:15:27,201594,1567,56.412,1429,51.444,268,9.648,5.114,4365.664,,252,771,180,17664,0,100
7:15:27,201537,1567,56.412,1429,51.444,288,10.368,5.69,4366.24,,252,771,208,17676,0,100
7:15:27,201476,1567,56.412,1429,51.444,305,10.98,6.3,4366.85,,252,781,208,17676,0,100
7:15:27,201411,1567,56.412,1429,51.444,325,11.7,6.95,4367.5,,252,766,236,17676,0,100
7:15:27,201343,1567,56.412,1429,51.444,341,12.276,7.632,4368.182,,252,766,263,17688,0,100
7:15:28,201271,1567,56.412,1429,51.444,363,13.068,8.358,4368.908,,252,766,263,17676,0,100
7:15:28,201195,1567,56.412,1429,51.444,378,13.608,9.114,4369.664,,252,781,291,17676,0,100
7:15:28,201114,1567,56.412,1429,51.444,397,14.292,9.908,4370.458,,252,766,319,17676,0,100
7:15:28,201031,1567,56.412,1429,51.444,417,15.012,10.742,4371.292,,252,766,333,17676,0,100
7:15:28,200944,1567,56.412,1429,51.444,435,15.66,11.612,4372.162,,252,766,333,17676,0,100
7:15:29,200854,1567,56.412,1429,51.444,453,16.308,12.518,4373.068,,252,766,361,17688,0,100
7:15:29,200760,1567,56.412,1429,51.444,472,16.992,13.462,4374.012,,252,751,402,17688,0,100
7:15:29,200662,1567,56.412,1429,51.444,489,17.604,14.44,4374.99,,252,766,402,17688,0,100
7:15:29,200561,1567,56.412,1429,51.444,509,18.324,15.458,4376.008,,252,766,430,17676,0,100
7:15:29,200456,1567,56.412,1429,51.444,526,18.936,16.51,4377.06,,252,776,444,17676,0,100
7:15:30,200347,1567,56.412,1429,51.444,544,19.584,17.598,4378.148,,252,776,444,17676,0,100
7:15:30,200235,1567,56.412,1429,51.444,564,20.304,18.726,4379.276,,252,756,472,17676,0,100
7:15:30,200116,1567,56.412,1429,51.444,580,20.88,19.886,4380.436,,252,761,513,17688,0,100
7:15:30,199997,1567,56.412,1429,51.444,599,21.564,21.084,4381.634,,252,761,513,17676,0,100
7:15:30,199873,1567,56.412,1429,51.444,617,22.212,22.318,4382.868,,252,776,527,17676,0,100
7:15:31,199747,1567,56.412,1429,51.444,636,22.896,23.59,4384.14,,252,776,527,17676,0,100
7:15:31,199616,1567,56.412,1429,51.444,654,23.544,24.898,4385.448,,252,747,569,17676,0,100
7:15:31,199482,1567,56.412,1429,51.444,672,24.192,26.242,4386.792,,252,771,597,17676,0,100
7:15:31,199344,1567,56.412,1429,51.444,691,24.876,27.624,4388.174,,252,771,611,17676,0,100
7:15:31,199203,1567,56.412,1429,51.444,709,25.524,29.042,4389.592,,252,771,611,17676,0,100
7:15:32,199057,1567,56.412,1429,51.444,727,26.172,30.496,4391.046,,252,747,638,17676,0,100
7:15:32,198909,1567,56.412,1429,51.444,747,26.892,31.99,4392.54,,252,747,638,17676,0,100
7:15:32,198752,1567,56.412,1429,51.444,763,27.468,33.516,4394.066,,252,751,680,17676,0,100
7:15:32,198596,1567,56.412,1429,51.444,783,28.188,35.082,4395.632,,252,761,708,17676,0,100
7:15:32,198436,1567,56.412,1429,51.444,801,28.836,36.684,4397.234,,252,747,708,17676,0,100
7:15:33,198273,1567,56.412,1429,51.444,819,29.484,38.322,4398.872,,252,747,708,17676,0,100
7:15:33,198105,1567,56.412,1429,51.444,839,30.204,40.0,4400.55,,252,751,750,17676,0,100
7:15:33,197934,1567,56.412,1429,51.444,857,30.852,41.714,4402.264,,252,751,763,17676,0,100
7:15:33,197760,1567,56.412,1429,51.444,876,31.536,43.466,4404.016,,252,751,763,17676,0,100
7:15:33,197581,1567,56.412,1429,51.444,894,32.184,45.254,4405.804,,252,747,805,17676,0,100
7:15:34,197400,1567,56.412,1429,51.444,912,32.832,47.078,4407.628,,252,747,833,17676,0,100
7:15:34,197214,1567,56.412,1429,51.444,930,33.48,48.938,4409.488,,252,742,833,17676,0,100
7:15:34,197020,1567,56.412,1429,51.444,950,34.2,50.838,4411.388,,252,766,861,17676,0,100
7:15:34,196827,1567,56.412,1429,51.444,968,34.848,52.774,4413.324,,252,751,861,17676,0,100
7:15:34,196630,1567,56.412,1429,51.444,986,35.496,54.746,4415.296,,252,751,902,17676,0,100
7:15:35,196430,1567,56.412,1429,51.444,1004,36.144,56.754,4417.304,,252,761,902,17676,0,100
7:15:35,196226,1567,56.412,1429,51.444,1023,36.828,58.8,4419.35,,252,742,930,17676,0,100
7:15:35,196018,1567,56.412,1429,51.444,1042,37.512,60.884,4421.434,,252,742,972,17676,0,100
7:15:35,195807,1567,56.412,1429,51.444,1059,38.124,63.002,4423.552,,252,742,972,17676,0,100
7:15:35,195592,1567,56.412,1429,51.444,1077,38.772,65.156,4425.706,,252,756,972,17676,0,100
7:15:36,195374,1567,56.412,1429,51.444,1094,39.384,67.344,4427.894,,252,756,1013,17676,0,100
7:15:36,195151,1577,56.772,1439,51.804,1113,40.068,69.57,4430.12,,252,751,1027,17676,0,100
7:15:36,194920,1577,56.772,1439,51.804,1133,40.788,71.836,4432.386,,252,751,1027,17676,0,100
7:15:36,194690,1577,56.772,1439,51.804,1149,41.364,74.134,4434.684,,252,732,1055,17676,0,100
7:15:36,194457,1577,56.772,1439,51.804,1167,42.012,76.468,4437.018,,252,732,1083,17676,0,100
7:15:37,194221,1577,56.772,1439,51.804,1184,42.624,78.836,4439.386,,252,742,1083,17676,0,100
7:15:37,193982,1577,56.772,1439,51.804,1201,43.236,81.238,4441.788,,252,747,1125,17664,0,100
7:15:37,193739,1577,56.772,1439,51.804,1217,43.812,83.672,4444.222,,252,747,1125,17676,0,100
7:15:37,193493,1577,56.772,1439,51.804,1234,44.424,86.14,4446.69,,252,747,1152,17676,0,100
7:15:37,193243,1577,56.772,1439,51.804,1251,45.036,88.642,4449.192,,252,751,1180,17676,0,100
7:15:38,192990,1577,56.772,1439,51.804,1266,45.576,91.174,4451.724,,-1,-1,-1,-1,0,100
7:15:38,192735,1577,56.772,1439,51.804,1281,46.116,93.736,4454.286,,252,742,1208,17676,0,91
7:15:38,192469,1577,56.772,1439,51.804,1298,46.728,96.332,4456.882,,252,742,1222,17676,0,77
7:15:38,192207,1577,56.772,1439,51.804,1314,47.304,98.96,4459.51,,252,742,1222,17676,0,63
7:15:38,191943,1577,56.772,1439,51.804,1327,47.772,101.614,4462.164,,252,747,1250,17676,0,55
7:15:39,191675,1577,56.772,1439,51.804,1343,48.348,104.3,4464.85,,252,742,1277,17676,0,44
7:15:39,191404,1577,56.772,1439,51.804,1357,48.852,107.014,4467.564,,252,742,1277,17676,0,32
7:15:39,191130,1577,56.772,1439,51.804,1372,49.392,109.758,4470.308,,252,737,1291,15888,0,20
7:15:39,190854,1577,56.772,1439,51.804,1383,49.788,112.524,4473.074,,252,737,1291,14400,0,14
7:15:39,190576,1598,57.528,1460,52.56,1394,50.184,115.312,4475.862,,252,742,1319,12876,0,79
7:15:40,190296,1598,57.528,1460,52.56,1403,50.508,118.118,4478.668,,252,751,1347,11424,0,100
7:15:40,190016,1598,57.528,1460,52.56,1407,50.652,120.932,4481.482,,252,766,1361,10344,0,0
7:15:40,189727,1598,57.528,1460,52.56,1411,50.796,123.754,4484.304,,252,766,1361,7044,0,0
7:15:40,189445,2158,77.688,1921,69.156,1413,50.868,126.58,4487.13,,252,791,1375,7104,0,100
7:15:40,189162,2148,77.328,1855,66.78,1417,51.012,129.414,4489.964,,252,791,1402,7368,0,100
7:15:41,188879,2138,76.968,1912,68.832,1419,51.084,132.252,4492.802,,252,791,1402,5544,0,100
7:15:41,188597,2128,76.608,1903,68.508,1416,50.976,135.084,4495.634,,252,800,1402,3144,0,100
7:15:41,188315,2117,76.212,1895,68.22,1413,50.868,137.91,4498.46,,252,791,1416,3996,0,100
7:15:41,188032,2107,75.852,1886,67.896,1416,50.976,140.742,4501.292,,252,791,1416,4752,0,100
7:15:41,187750,2096,75.456,1877,67.572,1416,50.976,143.574,4504.124,,252,820,1416,5052,0,100
7:15:42,187467,2086,75.096,1868,67.248,1416,50.976,146.406,4506.956,,252,820,1416,5556,0,100
7:15:42,187185,2075,74.7,1859,66.924,1417,51.012,149.24,4509.79,,252,820,1416,5832,0,100
7:15:42,186895,2065,74.34,1850,66.6,1419,51.084,152.078,4512.628,,252,800,1416,6756,0,100
7:15:42,186611,2054,73.944,1841,66.276,1421,51.156,154.92,4515.47,,252,791,1416,7164,0,100
7:15:42,186327,2043,73.548,1832,65.952,1425,51.3,157.77,4518.32,,252,791,1416,7524,0,100
7:15:43,186042,2032,73.152,1823,65.628,1429,51.444,160.628,4521.178,,252,786,1416,8016,0,100
7:15:43,185756,2021,72.756,1814,65.304,1434,51.624,163.496,4524.046,,252,800,1416,8712,0,100
7:15:43,185469,2010,72.36,1805,64.98,1439,51.804,166.374,4526.924,,252,800,1416,9216,0,100
7:15:43,185181,1999,71.964,1795,64.62,1444,51.984,169.262,4529.812,,252,791,1416,9624,0,100
7:15:43,184891,1988,71.568,1786,64.296,1452,52.272,172.166,4532.716,,252,786,1430,9984,0,100
7:15:44,184600,1977,71.172,1777,63.972,1458,52.488,175.082,4535.632,,252,786,1430,10248,0,100
7:15:44,184308,1966,70.776,1767,63.612,1466,52.776,178.014,4538.564,,252,781,1430,11172,0,100
7:15:44,184007,1954,70.344,1757,63.252,1470,52.92,180.954,4541.504,,252,766,1444,11664,0,100
7:15:44,183712,1942,69.912,1747,62.892,1480,53.28,183.914,4544.464,,252,766,1444,12072,1,100
7:15:44,183415,1930,69.48,1737,62.532,1488,53.568,186.89,4547.44,,252,766,1458,12432,1,100
7:15:45,183117,1918,69.048,1737,62.532,1496,53.856,189.882,4550.432,,252,766,1458,12696,1,100
7:15:45,182816,1906,68.616,1737,62.532,1505,54.18,192.892,4553.442,,252,766,1472,13632,1,100
7:15:45,182514,1894,68.184,1737,62.532,1514,54.504,195.92,4556.47,,252,751,1472,14124,1,100
7:15:45,182211,1882,67.752,1737,62.532,1522,54.792,198.964,4559.514,,252,761,1486,14412,1,100
7:15:45,181906,1875,67.5,1737,62.532,1530,55.08,202.024,4562.574,,252,751,1486,14892,2,100
7:15:46,181598,1875,67.5,1737,62.532,1542,55.512,205.108,4565.658,,252,751,1486,15600,2,100
7:15:46,181288,1875,67.5,1737,62.532,1553,55.908,208.214,4568.764,,252,756,1500,16092,2,100
7:15:46,180968,1875,67.5,1737,62.532,1564,56.304,211.342,4571.892,,252,756,1500,16488,2,100
7:15:46,180654,1875,67.5,1737,62.532,1574,56.664,214.49,4575.04,,252,751,1541,16860,2,100
7:15:46,180338,1875,67.5,1737,62.532,1585,57.06,217.66,4578.21,,252,732,1541,17124,2,100
7:15:47,180019,1875,67.5,1737,62.532,1597,57.492,220.854,4581.404,,252,732,1555,17664,2,90
7:15:47,179699,1875,67.5,1737,62.532,1608,57.888,224.07,4584.62,,252,732,1555,17676,3,80
7:15:47,179375,1875,67.5,1737,62.532,1621,58.356,227.312,4587.862,,252,727,1569,17676,3,69
7:15:47,179050,1875,67.5,1737,62.532,1630,58.68,230.572,4591.122,,252,727,1583,17676,3,63
7:15:47,178723,1875,67.5,1737,62.532,1641,59.076,233.854,4594.404,,252,727,1583,17676,3,57
7:15:48,178393,1875,67.5,1737,62.532,1653,59.508,237.16,4597.71,,252,727,1597,17676,3,46
7:15:48,178061,1875,67.5,1737,62.532,1664,59.904,240.488,4601.038,,252,727,1597,17676,4,36
7:15:48,177719,1892,68.112,1754,63.144,1673,60.228,243.834,4604.384,,252,737,1611,17664,4,87
7:15:48,177383,1892,68.112,1754,63.144,1685,60.66,247.204,4607.754,,252,747,1638,17676,4,100
7:15:48,177045,1892,68.112,1754,63.144,1695,61.02,250.594,4611.144,,252,747,1652,17652,4,52
7:15:49,176705,1892,68.112,1754,63.144,1704,61.344,254.002,4614.552,,252,732,1652,14928,4,0
7:15:49,176363,1892,68.112,1754,63.144,1713,61.668,257.428,4617.978,,252,737,1666,14820,4,0
7:15:49,176019,1892,68.112,1754,63.144,1722,61.992,260.872,4621.422,,252,737,1680,15168,5,0
7:15:49,175674,1892,68.112,1754,63.144,1732,62.352,264.336,4624.886,,252,732,1680,15516,5,0
7:15:49,175327,1893,68.148,1755,63.18,1739,62.604,267.814,4628.364,,252,747,1694,5304,5,0
7:15:50,174978,1893,68.148,1755,63.18,1747,62.892,271.308,4631.858,,252,747,1708,2820,5,-1
7:15:50,174630,1893,68.148,1755,63.18,1748,62.928,274.804,4635.354,,252,742,1708,2532,5,0
7:15:50,174273,1893,68.148,1755,63.18,1745,62.82,278.294,4638.844,,252,771,1722,2472,5,0
7:15:50,173925,1896,68.256,1758,63.288,1742,62.712,281.778,4642.328,,252,771,1722,2448,5,0
7:15:50,173578,1896,68.256,1758,63.288,1741,62.676,285.26,4645.81,,252,810,1750,3744,5,0
7:15:51,173231,1896,68.256,1758,63.288,1740,62.64,288.74,4649.29,,252,800,1750,3912,6,0
7:15:51,172884,1896,68.256,1758,63.288,1738,62.568,292.216,4652.766,,252,800,1750,3924,6,0
7:15:51,172538,1896,68.256,1758,63.288,1734,62.424,295.684,4656.234,,252,815,1750,2964,6,0
7:15:51,172192,1897,68.292,1759,63.324,1732,62.352,299.148,4659.698,,252,805,1750,2520,6,0
7:15:51,171847,1897,68.292,1759,63.324,1729,62.244,302.606,4663.156,,252,805,1750,2460,6,0
7:15:52,171503,1897,68.292,1759,63.324,1727,62.172,306.06,4666.61,,252,800,1736,2448,6,0
7:15:52,171160,1897,68.292,1759,63.324,1721,61.956,309.502,4670.052,,252,805,1736,2448,6,0
7:15:52,170808,1897,68.292,1759,63.324,1721,61.956,312.944,4673.494,,252,805,1736,2448,6,0
7:15:52,170465,1897,68.292,1759,63.324,1719,61.884,316.382,4676.932,,252,810,1736,2448,6,0
7:15:52,170123,1897,68.292,1759,63.324,1715,61.74,319.812,4680.362,,252,810,1722,2448,6,0
7:15:53,169781,1897,68.292,1759,63.324,1712,61.632,323.236,4683.786,,252,800,1722,2448,6,0
7:15:53,169440,1897,68.292,1759,63.324,1711,61.596,326.658,4687.208,,252,800,1722,2460,6,0
7:15:53,169100,1897,68.292,1759,63.324,1704,61.344,330.066,4690.616,,252,800,1722,2460,6,0
7:15:53,168760,1897,68.292,1759,63.324,1702,61.272,333.47,4694.02,,252,805,1722,2460,6,0
7:15:53,168421,1897,68.292,1759,63.324,1702,61.272,336.874,4697.424,,252,791,1722,2460,6,0
7:15:54,168082,1897,68.292,1759,63.324,1696,61.056,340.266,4700.816,,252,791,1722,2448,6,0
7:15:54,167744,1897,68.292,1759,63.324,1695,61.02,343.656,4704.206,,252,805,1708,2460,6,0
7:15:54,167398,1897,68.292,1759,63.324,1691,60.876,347.038,4707.588,,252,800,1708,2448,6,0
