时间,目标距离,EBI速度,EBI速度(km/h),目标速度,目标速度（km/h）,车速数据(cm/s),车速(km/h),计算距离(m),公里标（m）,实际长度(m),列车重量,网压,车辆速度,ATO输出的电流值,当前坡度,PID控制器期望输出的加速度
10:55:37,100440,1012,36.432,874,31.464,0,0.0,0.0,65878.772,,218,893,0,5664,2,100
10:55:38,100440,1012,36.432,874,31.464,2,0.072,0.004,65878.776,,218,883,0,6024,2,100
10:55:38,100439,1012,36.432,874,31.464,7,0.252,0.018,65878.79,,218,883,0,6732,2,100
10:55:38,100437,1012,36.432,874,31.464,8,0.288,0.034,65878.806,,218,883,0,7140,2,100
10:55:38,100435,1012,36.432,874,31.464,10,0.36,0.054,65878.826,,218,883,0,7632,2,100
10:55:38,100432,1012,36.432,874,31.464,15,0.54,0.084,65878.856,,218,883,0,7980,2,100
10:55:39,100428,1012,36.432,874,31.464,19,0.684,0.122,65878.894,,218,883,0,8748,2,100
10:55:39,100424,1012,36.432,874,31.464,22,0.792,0.166,65878.938,,218,883,0,9204,2,100
10:55:39,100418,1012,36.432,874,31.464,29,1.044,0.224,65878.996,,218,878,0,9600,2,100
10:55:39,100411,1012,36.432,874,31.464,35,1.26,0.294,65879.066,,218,878,0,10092,2,100
10:55:39,100402,1012,36.432,874,31.464,44,1.584,0.382,65879.154,,218,878,0,10440,2,100
10:55:40,100392,1012,36.432,874,31.464,51,1.836,0.484,65879.256,,218,874,13,11208,2,100
10:55:40,100380,1012,36.432,874,31.464,60,2.16,0.604,65879.376,,218,874,13,11700,2,100
10:55:40,100366,1012,36.432,874,31.464,69,2.484,0.742,65879.514,,218,864,27,12048,2,100
10:55:40,100351,1012,36.432,874,31.464,79,2.844,0.9,65879.672,,218,869,41,12396,2,100
10:55:40,100332,1012,36.432,874,31.464,91,3.276,1.082,65879.854,,218,869,41,12888,2,100
10:55:41,100312,1012,36.432,874,31.464,102,3.672,1.286,65880.058,,218,859,55,13668,2,100
10:55:41,100289,1012,36.432,874,31.464,115,4.14,1.516,65880.288,,218,869,55,14100,2,100
10:55:41,100263,1012,36.432,874,31.464,130,4.68,1.776,65880.548,,218,864,69,14508,2,100
10:55:41,100234,1012,36.432,874,31.464,143,5.148,2.062,65880.834,,218,864,69,14856,2,100
10:55:41,100202,1012,36.432,874,31.464,159,5.724,2.38,65881.152,,218,854,83,15624,2,100
10:55:42,100167,1012,36.432,874,31.464,175,6.3,2.73,65881.502,,218,854,97,16068,2,100
10:55:42,100129,1012,36.432,874,31.464,192,6.912,3.114,65881.886,,218,854,97,16464,2,100
10:55:42,100087,1012,36.432,874,31.464,208,7.488,3.53,65882.302,,218,830,125,16968,2,100
10:55:42,100042,1012,36.432,874,31.464,225,8.1,3.98,65882.752,,218,830,152,17304,2,100
10:55:42,99994,1012,36.432,874,31.464,245,8.82,4.47,65883.242,,218,834,152,17652,2,100
10:55:43,99941,1012,36.432,874,31.464,263,9.468,4.996,65883.768,,218,825,180,17664,2,100
10:55:43,99885,1012,36.432,874,31.464,283,10.188,5.562,65884.334,,218,834,208,17664,2,100
10:55:43,99825,1012,36.432,874,31.464,299,10.764,6.16,65884.932,,218,834,208,17664,2,100
10:55:43,99760,1012,36.432,874,31.464,317,11.412,6.794,65885.566,,218,820,250,17664,2,100
10:55:43,99693,1012,36.432,874,31.464,337,12.132,7.468,65886.24,,218,825,250,17664,2,100
10:55:44,99622,1012,36.432,874,31.464,355,12.78,8.178,65886.95,,218,825,250,17664,2,100
10:55:44,99548,1012,36.432,874,31.464,373,13.428,8.924,65887.696,,218,810,291,17664,2,100
10:55:44,99470,1012,36.432,874,31.464,390,14.04,9.704,65888.476,,218,810,319,17664,2,100
10:55:44,99388,1012,36.432,874,31.464,409,14.724,10.522,65889.294,,218,810,319,17664,2,100
10:55:44,99303,1012,36.432,874,31.464,427,15.372,11.376,65890.148,,218,800,347,17664,2,100
10:55:45,99215,1012,36.432,874,31.464,444,15.984,12.264,65891.036,,218,800,361,17664,2,100
10:55:45,99122,1012,36.432,874,31.464,463,16.668,13.19,65891.962,,218,800,361,17664,2,100
10:55:45,99026,1012,36.432,874,31.464,481,17.316,14.152,65892.924,,218,795,402,17664,2,100
10:55:45,98924,1012,36.432,874,31.464,498,17.928,15.148,65893.92,,218,791,430,17664,2,100
10:55:45,98821,1012,36.432,874,31.464,518,18.648,16.184,65894.956,,218,791,444,17664,2,100
10:55:46,98714,1012,36.432,874,31.464,534,19.224,17.252,65896.024,,218,781,444,17664,2,100
10:55:46,98604,1012,36.432,874,31.464,553,19.908,18.358,65897.13,,218,786,444,17664,2,100
10:55:46,98490,1012,36.432,874,31.464,572,20.592,19.502,65898.274,,218,786,486,17652,2,100
